Unnamed: 0,NOR,SFO,week,year,game_id
First Downs,14,21,12.0,2022,178
Rush-Yds-TDs,22-63-0,29-96-0,12.0,2022,178
Cmp-Att-Yd-TD-INT,18-30-204-0-0,26-37-222-1-0,12.0,2022,178
Sacked-Yards,1-7,1-1,12.0,2022,178
Net Pass Yards,197,221,12.0,2022,178
Total Yards,260,317,12.0,2022,178
Fumbles-Lost,2-2,0-0,12.0,2022,178
Turnovers,2,0,12.0,2022,178
Penalties-Yards,6-46,7-64,12.0,2022,178
Third Down Conv.,4-11,5-13,12.0,2022,178
Fourth Down Conv.,0-1,1-2,12.0,2022,178
Time of Possession,25:10,34:50,12.0,2022,178
