Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Latavius Murray,DEN,13,92,0,3.0,38,2.9,54,4.2,0,,12.0,2022,173
Marlon Mack,DEN,2,7,0,,3,1.5,4,2.0,1,2.0,12.0,2022,173
Russell Wilson,DEN,2,8,0,0.0,8,4.0,0,0.0,0,,12.0,2022,173
Kendall Hinton,DEN,1,13,0,1.0,13,13.0,0,0.0,0,,12.0,2022,173
Montrell Washington,DEN,1,1,0,,1,1.0,0,0.0,0,,12.0,2022,173
D'Onta Foreman,CAR,24,113,0,5.0,51,2.1,62,2.6,3,8.0,12.0,2022,173
Chuba Hubbard,CAR,17,65,0,3.0,52,3.1,13,0.8,1,17.0,12.0,2022,173
Sam Darnold,CAR,3,3,1,1.0,1,0.3,2,0.7,0,,12.0,2022,173
Sean Chandler,CAR,1,2,0,1.0,0,0.0,2,2.0,0,,12.0,2022,173
Laviska Shenault Jr.,CAR,1,2,0,0.0,2,2.0,0,0.0,0,,12.0,2022,173
