Quarter,Time,Tm,Detail,LAC,ARI,week,year,game_id
1.0,2:33,Cardinals,DeAndre Hopkins 33 yard pass from Kyler Murray (Matt Prater kick),0,7,12.0,2022,176
2.0,14:03,Cardinals,Matt Prater 43 yard field goal,0,10,12.0,2022,176
,8:51,Chargers,Keenan Allen 2 yard pass from Justin Herbert (Cameron Dicker kick),7,10,12.0,2022,176
,4:28,Chargers,DeAndre Carter 33 yard pass from Justin Herbert (Cameron Dicker kick),14,10,12.0,2022,176
,0:12,Cardinals,Kyler Murray 5 yard rush (Matt Prater kick),14,17,12.0,2022,176
3.0,4:28,Chargers,Cameron Dicker 26 yard field goal,17,17,12.0,2022,176
4.0,13:31,Cardinals,James Conner 6 yard pass from Kyler Murray (Matt Prater kick),17,24,12.0,2022,176
,0:15,Chargers,Austin Ekeler 1 yard pass from Justin Herbert (Gerald Everett pass from Justin Herbert),25,24,12.0,2022,176
