Unnamed: 0,BAL,JAX,week,year,game_id
First Downs,24,18,12.0,2022,171
Rush-Yds-TDs,35-162-1,20-38-0,12.0,2022,171
Cmp-Att-Yd-TD-INT,16-32-254-1-0,29-37-321-3-0,12.0,2022,171
Sacked-Yards,1-1,4-27,12.0,2022,171
Net Pass Yards,253,294,12.0,2022,171
Total Yards,415,332,12.0,2022,171
Fumbles-Lost,3-2,2-1,12.0,2022,171
Turnovers,2,1,12.0,2022,171
Penalties-Yards,3-20,4-19,12.0,2022,171
Third Down Conv.,8-14,4-13,12.0,2022,171
Fourth Down Conv.,0-1,2-3,12.0,2022,171
Time of Possession,32:39,27:21,12.0,2022,171
