#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,PHI 25,10,3:41,75,Touchdown,1,Eagles,12.0,2022,179
2,1,10:23,GNB 29,3,1:21,29,Touchdown,1,Eagles,12.0,2022,179
3,1,6:40,PHI 28,4,1:40,9,Downs,1,Eagles,12.0,2022,179
4,1,3:09,PHI 25,7,3:15,75,Touchdown,1,Eagles,12.0,2022,179
5,2,11:12,PHI 22,6,2:34,54,Fumble,1,Eagles,12.0,2022,179
6,2,7:41,PHI 28,3,1:53,2,Punt,1,Eagles,12.0,2022,179
7,2,2:16,PHI 29,9,2:03,71,Touchdown,1,Eagles,12.0,2022,179
8,3,12:42,PHI 14,11,5:23,86,Touchdown,1,Eagles,12.0,2022,179
9,3,2:03,PHI 26,14,5:52,61,Field Goal,1,Eagles,12.0,2022,179
10,4,9:00,PHI 21,10,6:44,43,Field Goal,1,Eagles,12.0,2022,179
11,4,1:08,GNB 44,4,1:08,10,End of Game,1,Eagles,12.0,2022,179
