Unnamed: 0,NWE,MIN,week,year,game_id
First Downs,17,23,12.0,2022,167
Rush-Yds-TDs,13-45-0,27-57-0,12.0,2022,167
Cmp-Att-Yd-TD-INT,28-39-382-2-0,31-38-310-3-1,12.0,2022,167
Sacked-Yards,3-18,1-9,12.0,2022,167
Net Pass Yards,364,301,12.0,2022,167
Total Yards,409,358,12.0,2022,167
Fumbles-Lost,1-0,0-0,12.0,2022,167
Turnovers,0,1,12.0,2022,167
Penalties-Yards,6-55,3-20,12.0,2022,167
Third Down Conv.,3-10,8-15,12.0,2022,167
Fourth Down Conv.,0-1,0-0,12.0,2022,167
Time of Possession,23:43,36:17,12.0,2022,167
