Quarter,Time,Tm,Detail,DEN,CAR,week,year,game_id
1.0,0:30,Panthers,D.J. Moore 5 yard pass from Sam Darnold (Eddy Piñeiro kick),0,7,12.0,2022,173
2.0,10:11,Broncos,Brandon McManus 27 yard field goal,3,7,12.0,2022,173
,4:42,Panthers,Eddy Piñeiro 42 yard field goal,3,10,12.0,2022,173
3.0,7:16,Panthers,Sam Darnold 2 yard rush (Eddy Piñeiro kick),3,17,12.0,2022,173
4.0,13:33,Panthers,Eddy Piñeiro 26 yard field goal,3,20,12.0,2022,173
,8:59,Panthers,Eddy Piñeiro 36 yard field goal,3,23,12.0,2022,173
,3:19,Broncos,Brandon Johnson 1 yard pass from Russell Wilson (Brandon McManus kick),10,23,12.0,2022,173
