Quarter,Time,Down,ToGo,Location,BAL,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Ravens to receive the opening kickoff.",,,12.0,2022,171
1.0,15:00,,,JAX 35,0.0,0.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,171
1.0,15:00,1.0,10.0,BAL 25,0.0,0.0,Lamar Jackson pass complete deep right to Mark Andrews for 25 yards (tackle by Andre Cisco and Foyesade Oluokun),0.61,2.26,12.0,2022,171
1.0,14:19,1.0,10.0,JAX 50,0.0,0.0,Lamar Jackson pass incomplete deep right intended for Demarcus Robinson,2.26,1.71,12.0,2022,171
1.0,14:12,2.0,10.0,JAX 50,0.0,0.0,Gus Edwards right end for 8 yards (tackle by Chad Muma),1.71,2.08,12.0,2022,171
1.0,13:30,3.0,2.0,JAX 42,0.0,0.0,Devin Duvernay left end for 9 yards (tackle by Foyesade Oluokun),2.08,3.38,12.0,2022,171
1.0,12:37,1.0,10.0,JAX 33,0.0,0.0,"Lamar Jackson pass complete short right to Mark Andrews for no gain. Mark Andrews fumbles (forced by Foyesade Oluokun), recovered by Rayshawn Jenkins at JAC-33 (tackle by Foyesade Oluokun) (tackle by Rayshawn Jenkins) Replay Assistant challenged the loose ball recovery ruling, and the original play was overturned. Lamar Jackson pass complete short right to Mark Andrews for 3 yards. Mark Andrews fumbles (forced by Rayshawn Jenkins) (tackle by Foyesade Oluokun and Rayshawn Jenkins). Mark Andrews fumbles out of bounds",3.38,3.24,12.0,2022,171
1.0,12:25,2.0,7.0,JAX 30,0.0,0.0,Gus Edwards up the middle for 3 yards (tackle by Rayshawn Jenkins),3.24,2.94,12.0,2022,171
1.0,11:42,3.0,4.0,JAX 27,0.0,0.0,"Lamar Jackson scrambles left end for no gain (tackle by Travon Walker). Penalty on Travon Walker: Defensive Offside, 5 yards (offset) . Penalty on Tyler Linderbaum: Offensive Holding, 10 yards (offset) (no play)",2.94,2.94,12.0,2022,171
1.0,11:15,3.0,4.0,JAX 27,0.0,0.0,Lamar Jackson pass complete short left to Demarcus Robinson for 17 yards (tackle by Darious Williams),2.94,4.91,12.0,2022,171
1.0,10:21,1.0,10.0,JAX 10,0.0,0.0,Lamar Jackson pass incomplete short right intended for Josh Oliver,4.91,4.19,12.0,2022,171
1.0,10:12,2.0,10.0,JAX 10,0.0,0.0,"Penalty on BAL: Delay of Game, 5 yards (accepted) (no play)",4.19,3.46,12.0,2022,171
1.0,10:12,2.0,15.0,JAX 15,0.0,0.0,Lamar Jackson pass complete short right to Mark Andrews for 5 yards (tackle by Foyesade Oluokun and Rayshawn Jenkins),3.46,3.13,12.0,2022,171
1.0,9:37,3.0,10.0,JAX 10,0.0,0.0,Lamar Jackson pass incomplete short right,3.13,2.76,12.0,2022,171
1.0,9:28,4.0,10.0,JAX 10,3.0,0.0,Justin Tucker 27 yard field goal good,2.76,3.0,12.0,2022,171
1.0,9:23,,,BAL 35,3.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,171
1.0,9:23,1.0,10.0,JAX 25,3.0,0.0,Trevor Lawrence sacked by Broderick Washington for -8 yards,0.61,-1.15,12.0,2022,171
1.0,8:41,2.0,18.0,JAX 17,3.0,0.0,Trevor Lawrence pass complete short middle to Zay Jones for 24 yards (tackle by Roquan Smith and Chuck Clark),-1.15,1.66,12.0,2022,171
1.0,8:10,1.0,10.0,JAX 41,3.0,0.0,Travis Etienne up the middle for 3 yards (tackle by Broderick Washington),1.66,1.53,12.0,2022,171
1.0,7:30,2.0,7.0,JAX 44,3.0,0.0,Trevor Lawrence pass complete short left to Zay Jones for 6 yards (tackle by Geno Stone),1.53,1.62,12.0,2022,171
1.0,6:45,3.0,1.0,JAX 50,3.0,0.0,Jamycal Hasty up the middle for no gain (tackle by Calais Campbell and Malik Harrison),1.62,-0.06,12.0,2022,171
1.0,6:09,4.0,1.0,JAX 50,3.0,0.0,Trevor Lawrence up the middle for no gain (tackle by Calais Campbell),-0.06,-2.26,12.0,2022,171
1.0,6:01,1.0,10.0,JAX 50,3.0,0.0,Gus Edwards left guard for 16 yards (tackle by Andre Cisco and Chad Muma),2.26,3.31,12.0,2022,171
1.0,5:32,1.0,10.0,JAX 34,3.0,0.0,Lamar Jackson pass complete short left to Devin Duvernay for 7 yards (tackle by Andre Cisco),3.31,3.72,12.0,2022,171
1.0,4:56,2.0,3.0,JAX 27,3.0,0.0,Gus Edwards up the middle for 2 yards (tackle by Foyesade Oluokun),3.72,3.27,12.0,2022,171
1.0,4:12,3.0,1.0,JAX 25,3.0,0.0,Gus Edwards up the middle for 7 yards (tackle by Rayshawn Jenkins),3.27,4.37,12.0,2022,171
1.0,3:31,1.0,10.0,JAX 18,3.0,0.0,Lamar Jackson left end for 7 yards (tackle by Devin Lloyd),4.37,5.01,12.0,2022,171
