Quarter,Time,Down,ToGo,Location,LAR,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,12.0,2022,177
1.0,15:00,,,LAR 35,0.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,177
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,Isiah Pacheco right end for 9 yards (tackle by Aaron Donald and Taylor Rapp),0.61,1.28,12.0,2022,177
1.0,14:29,2.0,1.0,KAN 34,0.0,0.0,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 4 yards (tackle by David Long and Troy Hill),1.28,1.47,12.0,2022,177
1.0,13:55,1.0,10.0,KAN 38,0.0,0.0,Patrick Mahomes pass incomplete short right,1.47,0.92,12.0,2022,177
1.0,13:50,2.0,10.0,KAN 38,0.0,0.0,Isiah Pacheco up the middle for 5 yards (tackle by Aaron Donald),0.92,0.89,12.0,2022,177
1.0,13:18,3.0,5.0,KAN 43,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Jerick McKinnon,0.89,-0.52,12.0,2022,177
1.0,13:12,4.0,5.0,KAN 43,0.0,0.0,"Tommy Townsend punts 49 yards, fair catch by Brandon Powell at LA-8",-0.52,0.38,12.0,2022,177
1.0,13:05,1.0,10.0,LAR 8,0.0,0.0,"Penalty on Jalen Ramsey: Unnecessary Roughness / Defense, 4 yards (accepted) (no play)",-0.38,-0.38,12.0,2022,177
1.0,13:05,1.0,10.0,LAR 4,0.0,0.0,Cam Akers left end for 2 yards (tackle by Nick Bolton),-0.38,-0.63,12.0,2022,177
1.0,12:23,2.0,8.0,LAR 6,0.0,0.0,Cam Akers left guard for 2 yards (tackle by Frank Clark and Derrick Nnadi),-0.63,-0.95,12.0,2022,177
1.0,11:40,3.0,6.0,LAR 8,0.0,0.0,Bryce Perkins pass incomplete short left intended for Lance McCutcheon (defended by Trent McDuffie),-0.95,-2.49,12.0,2022,177
1.0,11:34,4.0,6.0,LAR 8,0.0,0.0,"Riley Dixon punts 49 yards, recovered by Robert Rochell at KC-43",-2.49,2.72,12.0,2022,177
1.0,11:23,1.0,10.0,KAN 43,0.0,0.0,Bryce Perkins sacked by George Karlaftis for -10 yards,2.72,0.83,12.0,2022,177
1.0,10:42,2.0,20.0,LAR 47,0.0,0.0,Bryce Perkins up the middle for 8 yards (tackle by Nick Bolton),0.83,1.22,12.0,2022,177
1.0,10:13,3.0,12.0,KAN 45,0.0,0.0,"Bryce Perkins pass complete deep right to Van Jefferson for 19 yards KAN challenged the pass completion ruling, and the original play was overturned. Bryce Perkins pass incomplete deep right intended for Van Jefferson (defended by Joshua Williams)",1.22,0.27,12.0,2022,177
1.0,10:06,4.0,12.0,KAN 45,0.0,0.0,"Riley Dixon punts 35 yards, fair catch by Justin Watson at KC-10",0.27,0.38,12.0,2022,177
1.0,10:00,1.0,10.0,KAN 10,0.0,0.0,Isiah Pacheco right end for 3 yards (tackle by Ernest Jones),-0.38,-0.56,12.0,2022,177
1.0,9:30,2.0,7.0,KAN 13,0.0,0.0,Patrick Mahomes pass complete short left to Skyy Moore for 18 yards (tackle by Nick Scott),-0.56,1.0,12.0,2022,177
