Quarter,Time,Down,ToGo,Location,NOR,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Saints to receive the opening kickoff.",,,12.0,2022,178
1.0,15:00,,,SFO 35,0.0,0.0,"Robbie Gould kicks off 63 yards, returned by Rashid Shaheed for 26 yards (tackle by Ambry Thomas)",0.0,0.81,12.0,2022,178
1.0,14:55,1.0,10.0,NOR 28,0.0,0.0,Andy Dalton pass complete short left to Taysom Hill for 7 yards (tackle by Charvarius Ward and Azeez Al-Shaair),0.81,1.21,12.0,2022,178
1.0,14:20,2.0,3.0,NOR 35,0.0,0.0,Alvin Kamara right guard for 2 yards (tackle by Dre Greenlaw and Fred Warner),1.21,0.76,12.0,2022,178
1.0,13:38,3.0,1.0,NOR 37,0.0,0.0,Mark Ingram right guard for 3 yards (tackle by Charvarius Ward and Samson Ebukam),0.76,1.6,12.0,2022,178
1.0,13:02,1.0,10.0,NOR 40,0.0,0.0,"Alvin Kamara left tackle for 1 yard. Alvin Kamara fumbles (forced by Fred Warner), recovered by Samson Ebukam at NO-43 (tackle by Fred Warner)",1.6,-2.72,12.0,2022,178
1.0,12:55,1.0,10.0,NOR 43,0.0,0.0,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 2 yards (tackle by Marcus Maye),2.72,2.45,12.0,2022,178
1.0,12:16,2.0,8.0,NOR 41,0.0,0.0,Christian McCaffrey right end for 2 yards (tackle by Kaden Elliss),2.45,2.01,12.0,2022,178
1.0,11:36,3.0,6.0,NOR 39,0.0,0.0,Jimmy Garoppolo pass complete short right to Deebo Samuel for 20 yards (tackle by P.J. Williams and Paulson Adebo),2.01,4.31,12.0,2022,178
1.0,10:56,1.0,10.0,NOR 19,0.0,0.0,Deebo Samuel up the middle for -3 yards (tackle by Cameron Jordan),4.31,3.36,12.0,2022,178
1.0,10:14,2.0,13.0,NOR 22,0.0,0.0,Jimmy Garoppolo pass incomplete short middle intended for Jauan Jennings (defended by Demario Davis),3.36,2.68,12.0,2022,178
1.0,10:08,3.0,13.0,NOR 22,0.0,0.0,Jimmy Garoppolo pass complete short right to Ray-Ray McCloud for 12 yards (tackle by Chris Harris),2.68,2.91,12.0,2022,178
1.0,9:37,4.0,1.0,NOR 10,0.0,0.0,Christian McCaffrey left guard for 1 yard (tackle by Demario Davis and Marcus Davenport),2.91,5.14,12.0,2022,178
1.0,8:54,1.0,9.0,NOR 9,0.0,0.0,Christian McCaffrey right guard for 4 yards (tackle by Shy Tuttle and Marcus Maye),5.14,5.15,12.0,2022,178
1.0,8:14,2.0,5.0,NOR 5,0.0,0.0,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel,5.15,4.26,12.0,2022,178
1.0,8:09,3.0,5.0,NOR 5,0.0,0.0,Jimmy Garoppolo pass incomplete intended for George Kittle,4.26,3.01,12.0,2022,178
1.0,8:05,4.0,5.0,NOR 5,0.0,3.0,Robbie Gould 24 yard field goal good,3.01,3.0,12.0,2022,178
1.0,8:01,,,SFO 35,0.0,3.0,"Robbie Gould kicks off 67 yards, returned by Rashid Shaheed for 21 yards (tackle by Jordan Mason and Demetrius Flannigan-Fowles)",0.0,0.15,12.0,2022,178
1.0,7:55,1.0,10.0,NOR 19,0.0,3.0,Andy Dalton pass complete short middle to Adam Trautman for 17 yards (tackle by Azeez Al-Shaair),0.15,1.33,12.0,2022,178
1.0,7:19,1.0,10.0,NOR 36,0.0,3.0,"Penalty on Taysom Hill: False Start, 5 yards (accepted) (no play)",1.33,1.0,12.0,2022,178
1.0,7:04,1.0,15.0,NOR 31,0.0,3.0,Taysom Hill right tackle for 4 yards (tackle by Tashaun Gipson and Kevin Givens),1.0,0.66,12.0,2022,178
1.0,6:27,2.0,11.0,NOR 35,0.0,3.0,Andy Dalton pass incomplete short right intended for Juwan Johnson (defended by Dre Greenlaw),0.66,-0.03,12.0,2022,178
1.0,6:21,3.0,11.0,NOR 35,0.0,3.0,Andy Dalton scrambles left end for 10 yards (tackle by Fred Warner),-0.03,-0.39,12.0,2022,178
1.0,5:53,4.0,1.0,NOR 45,0.0,3.0,"Blake Gillikin punts 45 yards, returned by Ray-Ray McCloud for 7 yards (tackle by Isaac Yiadom and Kevin White)",-0.39,0.06,12.0,2022,178
1.0,5:43,1.0,10.0,SFO 17,0.0,3.0,Jimmy Garoppolo pass complete short right to George Kittle for 14 yards (tackle by Tyrann Mathieu),-0.06,1.0,12.0,2022,178
1.0,5:01,1.0,10.0,SFO 31,0.0,3.0,Deebo Samuel left end for 3 yards (tackle by Kaden Elliss),1.0,0.87,12.0,2022,178
1.0,4:23,2.0,7.0,SFO 34,0.0,3.0,Jimmy Garoppolo pass complete short middle to Christian McCaffrey for 9 yards (tackle by Kaden Elliss and Demario Davis),0.87,1.8,12.0,2022,178
1.0,3:42,1.0,10.0,SFO 43,0.0,3.0,Christian McCaffrey up the middle for -1 yards (tackle by Zack Baun and Demario Davis),1.8,1.12,12.0,2022,178
1.0,3:00,2.0,11.0,SFO 42,0.0,3.0,Jimmy Garoppolo pass complete short left to George Kittle for 3 yards (tackle by Demario Davis),1.12,0.83,12.0,2022,178
1.0,2:17,3.0,8.0,SFO 45,0.0,3.0,Jimmy Garoppolo pass incomplete deep left intended for Christian McCaffrey,0.83,-0.39,12.0,2022,178
1.0,2:12,4.0,8.0,SFO 45,0.0,3.0,"Mitch Wishnowsky punts 44 yards, fair catch by Rashid Shaheed at NO-11",-0.39,0.37,12.0,2022,178
1.0,2:05,1.0,10.0,NOR 11,0.0,3.0,Alvin Kamara up the middle for 4 yards (tackle by Talanoa Hufanga),-0.37,-0.43,12.0,2022,178
1.0,1:24,2.0,6.0,NOR 15,0.0,3.0,Andy Dalton pass complete deep middle to Rashid Shaheed for 35 yards (tackle by Deommodore Lenoir),-0.43,2.26,12.0,2022,178
1.0,0:50,1.0,10.0,NOR 50,0.0,3.0,Andy Dalton pass complete short left to Chris Olave for 2 yards (tackle by Charvarius Ward),2.26,1.98,12.0,2022,178
1.0,0:17,2.0,8.0,SFO 48,0.0,3.0,Alvin Kamara up the middle for -3 yards (tackle by T.Y. McGill),1.98,0.89,12.0,2022,178
2.0,15:00,3.0,11.0,NOR 49,0.0,3.0,Andy Dalton pass complete short left to Alvin Kamara for 8 yards (tackle by Talanoa Hufanga),0.89,0.4,12.0,2022,178
2.0,14:24,4.0,3.0,SFO 43,0.0,3.0,Blake Gillikin punts 39 yards downed by Kevin White,0.4,0.38,12.0,2022,178
2.0,14:14,1.0,10.0,SFO 4,0.0,3.0,Elijah Mitchell left guard for 3 yards (tackle by Carl Granderson),-0.38,-0.56,12.0,2022,178
2.0,13:34,2.0,7.0,SFO 7,0.0,3.0,Elijah Mitchell up the middle for 1 yard (tackle by Zack Baun),-0.56,-0.95,12.0,2022,178
2.0,12:50,3.0,6.0,SFO 8,0.0,3.0,Jimmy Garoppolo pass complete short left to George Kittle for 9 yards (tackle by Alontae Taylor),-0.95,-0.06,12.0,2022,178
2.0,12:08,1.0,10.0,SFO 17,0.0,3.0,Jimmy Garoppolo pass complete short left to Christian McCaffrey for -2 yards (tackle by Tyrann Mathieu and Demario Davis),-0.06,-0.85,12.0,2022,178
2.0,11:23,2.0,12.0,SFO 15,0.0,3.0,"Jimmy Garoppolo pass incomplete deep right intended for Brandon Aiyuk (defended by Paulson Adebo). Penalty on Mike McGlinchey: Offensive Holding, 10 yards (declined)",-0.85,-1.57,12.0,2022,178
2.0,11:15,3.0,12.0,SFO 15,0.0,3.0,Jimmy Garoppolo pass complete short right to Christian McCaffrey for 2 yards (tackle by Paulson Adebo and Chris Harris),-1.57,-2.32,12.0,2022,178
2.0,10:33,4.0,10.0,SFO 17,0.0,3.0,"Mitch Wishnowsky punts 43 yards, returned by Rashid Shaheed for 7 yards (tackle by George Odum). Penalty on Samuel Womack: Unsportsmanlike Conduct / Defense, 15 yards (accepted)",-2.32,-3.05,12.0,2022,178
