Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Daniel Jones,NYG,0,0,0,0,0,12.0,2022,166
Saquon Barkley,NYG,6,4,13,0,5,12.0,2022,166
Gary Brightwell,NYG,2,2,18,0,12,12.0,2022,166
Matt Breida,NYG,1,1,9,0,9,12.0,2022,166
Darius Slayton,NYG,6,3,63,0,44,12.0,2022,166
Richie James,NYG,6,5,41,1,16,12.0,2022,166
Isaiah Hodgins,NYG,4,3,31,0,17,12.0,2022,166
Chris Myarick,NYG,1,1,23,0,23,12.0,2022,166
Lawrence Cager,NYG,2,1,20,0,20,12.0,2022,166
Tanner Hudson,NYG,1,1,10,0,10,12.0,2022,166
Dak Prescott,DAL,0,0,0,0,0,12.0,2022,166
Ezekiel Elliott,DAL,1,1,3,0,3,12.0,2022,166
Tony Pollard,DAL,2,2,1,0,2,12.0,2022,166
CeeDee Lamb,DAL,11,6,106,0,25,12.0,2022,166
Peyton Hendershot,DAL,0,0,0,0,0,12.0,2022,166
Michael Gallup,DAL,8,5,63,0,25,12.0,2022,166
Jake Ferguson,DAL,3,3,57,0,30,12.0,2022,166
Dalton Schultz,DAL,4,4,31,2,15,12.0,2022,166
