Quarter,Time,Down,ToGo,Location,GNB,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Eagles to receive the opening kickoff.",,,12.0,2022,179
1.0,15:00,,,GNB 35,0.0,0.0,"Mason Crosby kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,179
1.0,15:00,1.0,10.0,PHI 25,0.0,0.0,Jalen Hurts pass incomplete short right intended for DeVonta Smith (defended by Kingsley Enagbare),0.61,0.06,12.0,2022,179
1.0,14:56,2.0,10.0,PHI 25,0.0,0.0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith,0.06,-0.62,12.0,2022,179
1.0,14:50,3.0,10.0,PHI 25,0.0,0.0,Jalen Hurts scrambles right end for 24 yards (tackle by Rudy Ford),-0.62,2.19,12.0,2022,179
1.0,14:18,1.0,10.0,PHI 49,0.0,0.0,Miles Sanders left tackle for 5 yards (tackle by Preston Smith and Adrian Amos),2.19,2.32,12.0,2022,179
1.0,13:43,2.0,5.0,GNB 46,0.0,0.0,Miles Sanders up the middle for 8 yards (tackle by Krys Barnes),2.32,3.05,12.0,2022,179
1.0,13:18,1.0,10.0,GNB 38,0.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for 6 yards (tackle by Jaire Alexander),3.05,3.32,12.0,2022,179
1.0,12:46,2.0,4.0,GNB 32,0.0,0.0,Miles Sanders right end for -2 yards (tackle by Justin Hollins and Rasul Douglas),3.32,2.34,12.0,2022,179
1.0,12:09,3.0,6.0,GNB 34,0.0,0.0,Jalen Hurts up the middle for 28 yards (tackle by Adrian Amos),2.34,5.83,12.0,2022,179
1.0,11:44,1.0,6.0,GNB 6,0.0,0.0,Kenneth Gainwell up the middle for 2 yards (tackle by Kingsley Enagbare and Adrian Amos),5.83,5.34,12.0,2022,179
1.0,11:25,2.0,4.0,GNB 4,0.0,6.0,"Kenneth Gainwell for 4 yards, touchdown",5.34,7.0,12.0,2022,179
1.0,11:19,,,GNB 15,0.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,12.0,2022,179
1.0,11:19,,,PHI 35,0.0,7.0,"Jake Elliott kicks off 66 yards, returned by Keisean Nixon for 10 yards (tackle by Zach Pascal)",0.0,-0.38,12.0,2022,179
1.0,11:16,1.0,10.0,GNB 9,0.0,7.0,Aaron Rodgers pass incomplete deep right intended for Christian Watson,-0.38,-0.78,12.0,2022,179
1.0,11:11,2.0,10.0,GNB 9,0.0,7.0,Aaron Jones up the middle for 6 yards (tackle by Javon Hargrave and Josh Sweat),-0.78,-0.72,12.0,2022,179
1.0,10:32,3.0,4.0,GNB 15,0.0,7.0,Aaron Rodgers pass short right (defended by Darius Slay) intended for Allen Lazard is intercepted by Josiah Scott at GB-29 and returned for no gain (tackle by Randall Cobb),-0.72,-3.64,12.0,2022,179
1.0,10:23,1.0,10.0,GNB 29,0.0,7.0,Miles Sanders left guard for 6 yards (tackle by Quay Walker),3.64,3.91,12.0,2022,179
1.0,9:43,2.0,4.0,GNB 23,0.0,7.0,Jalen Hurts left end for 8 yards (tackle by Adrian Amos),3.91,4.58,12.0,2022,179
1.0,9:08,1.0,10.0,GNB 15,0.0,13.0,"Miles Sanders left guard for 15 yards, touchdown",4.58,7.0,12.0,2022,179
1.0,9:03,,,GNB 15,0.0,13.0,Jake Elliott kicks extra point no good,0.0,-1.0,12.0,2022,179
1.0,9:02,,,PHI 35,0.0,13.0,"Jake Elliott kicks off 62 yards, returned by Keisean Nixon for 38 yards (tackle by Nakobe Dean)",0.0,1.66,12.0,2022,179
1.0,8:51,1.0,10.0,GNB 41,0.0,13.0,Aaron Jones right end for 10 yards (tackle by Marcus Epps),1.66,2.32,12.0,2022,179
1.0,8:13,1.0,10.0,PHI 49,0.0,13.0,Aaron Jones left guard for -1 yards (tackle by Fletcher Cox),2.32,1.65,12.0,2022,179
1.0,7:33,2.0,11.0,PHI 50,0.0,13.0,Aaron Rodgers pass complete short left to Aaron Jones for 30 yards (tackle by T.J. Edwards),1.65,4.24,12.0,2022,179
1.0,6:51,1.0,10.0,PHI 20,6.0,13.0,"AJ Dillon left guard for 20 yards, touchdown",4.24,7.0,12.0,2022,179
1.0,6:45,,,PHI 15,7.0,13.0,Mason Crosby kicks extra point good,0.0,0.0,12.0,2022,179
1.0,6:40,,,GNB 35,7.0,13.0,"Mason Crosby kicks off 57 yards, returned by Boston Scott for 20 yards (tackle by Dallin Leavitt)",0.0,0.81,12.0,2022,179
1.0,6:34,1.0,10.0,PHI 28,7.0,13.0,Miles Sanders left guard for 7 yards (tackle by Kingsley Enagbare),0.81,1.21,12.0,2022,179
1.0,6:08,2.0,3.0,PHI 35,7.0,13.0,Miles Sanders up the middle for 2 yards (tackle by Kingsley Enagbare),1.21,0.76,12.0,2022,179
1.0,5:30,3.0,1.0,PHI 37,7.0,13.0,Jalen Hurts up the middle for no gain (tackle by Kingsley Enagbare),0.76,-0.91,12.0,2022,179
1.0,5:06,4.0,1.0,PHI 37,7.0,13.0,"Jalen Hurts aborted snap, recovered by Miles Sanders at PHI-37 (tackle by Rasul Douglas)",-0.91,-3.12,12.0,2022,179
1.0,5:00,1.0,10.0,PHI 37,7.0,13.0,Aaron Jones right end for 2 yards (tackle by Javon Hargrave and Kyzir White),3.12,2.84,12.0,2022,179
