Quarter,Time,Tm,Detail,CHI,NYJ,week,year,game_id
1.0,10:12,Jets,Garrett Wilson 8 yard pass from Mike White (Greg Zuerlein kick),0,7,12.0,2022,174
,5:59,Bears,Cairo Santos 22 yard field goal,3,7,12.0,2022,174
2.0,14:20,Bears,Byron Pringle 4 yard pass from Trevor Siemian (Cairo Santos kick),10,7,12.0,2022,174
,4:57,Jets,Garrett Wilson 54 yard pass from Mike White (Greg Zuerlein kick),10,14,12.0,2022,174
,0:12,Jets,Greg Zuerlein 57 yard field goal,10,17,12.0,2022,174
3.0,6:35,Jets,Elijah Moore 22 yard pass from Mike White (Greg Zuerlein kick),10,24,12.0,2022,174
,2:28,Jets,Ty Johnson 32 yard rush (Greg Zuerlein kick),10,31,12.0,2022,174
