Quarter,Time,Tm,Detail,BAL,JAX,week,year,game_id
1.0,9:23,Ravens,Justin Tucker 27 yard field goal,3,0,12.0,2022,171
,2:03,Ravens,Justin Tucker 29 yard field goal,6,0,12.0,2022,171
2.0,9:57,Jaguars,Jamycal Hasty 28 yard pass from Trevor Lawrence (Riley Patterson kick),6,7,12.0,2022,171
,4:51,Ravens,Justin Tucker 55 yard field goal,9,7,12.0,2022,171
,0:09,Jaguars,Riley Patterson 22 yard field goal,9,10,12.0,2022,171
3.0,7:51,Ravens,Justin Tucker 24 yard field goal,12,10,12.0,2022,171
4.0,13:07,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),19,10,12.0,2022,171
,5:55,Jaguars,Jamal Agnew 1 yard pass from Trevor Lawrence (Riley Patterson kick),19,17,12.0,2022,171
,4:19,Jaguars,Riley Patterson 29 yard field goal,19,20,12.0,2022,171
,2:02,Ravens,Josh Oliver 12 yard pass from Lamar Jackson (Mark Andrews pass from Lamar Jackson),27,20,12.0,2022,171
,0:14,Jaguars,Marvin Jones 10 yard pass from Trevor Lawrence (Zay Jones pass from Trevor Lawrence),27,28,12.0,2022,171
