Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bengals,4.0,5.39,6.74,-1.69,0.0,-4.57,-8.47,3.2,0.0,5.94,0.44,2.98,2.61,-3.89,3.8,12.0,2022,168
Titans,-4.0,4.57,8.47,-3.2,0.0,-5.39,-6.74,1.69,0.0,-5.94,-2.98,-0.44,3.89,-2.61,-3.8,12.0,2022,168
