Unnamed: 0,BUF,DET,week,year,game_id
First Downs,28,22,12.0,2022,165
Rush-Yds-TDs,29-164-1,28-96-1,12.0,2022,165
Cmp-Att-Yd-TD-INT,24-42-253-2-1,23-37-240-2-0,12.0,2022,165
Sacked-Yards,3-16,2-10,12.0,2022,165
Net Pass Yards,237,230,12.0,2022,165
Total Yards,401,326,12.0,2022,165
Fumbles-Lost,1-0,4-2,12.0,2022,165
Turnovers,1,2,12.0,2022,165
Penalties-Yards,5-36,3-32,12.0,2022,165
Third Down Conv.,7-12,6-15,12.0,2022,165
Fourth Down Conv.,0-0,3-3,12.0,2022,165
Time of Possession,31:26,28:34,12.0,2022,165
