Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Lamar Jackson,BAL,0,0,0,0,0,12.0,2022,171
Gus Edwards,BAL,1,0,0,0,0,12.0,2022,171
Devin Duvernay,BAL,5,3,23,0,11,12.0,2022,171
Justice Hill,BAL,0,0,0,0,0,12.0,2022,171
Kenyan Drake,BAL,1,0,0,0,0,12.0,2022,171
Josh Oliver,BAL,6,4,76,1,40,12.0,2022,171
DeSean Jackson,BAL,3,2,74,0,62,12.0,2022,171
Mark Andrews,BAL,7,4,50,0,25,12.0,2022,171
Demarcus Robinson,BAL,4,1,17,0,17,12.0,2022,171
Patrick Ricard,BAL,3,2,14,0,10,12.0,2022,171
Trevor Lawrence,JAX,0,0,0,0,0,12.0,2022,171
Jamycal Hasty,JAX,5,5,67,1,28,12.0,2022,171
Snoop Conner,JAX,0,0,0,0,0,12.0,2022,171
Travis Etienne,JAX,0,0,0,0,0,12.0,2022,171
Zay Jones,JAX,14,11,145,0,29,12.0,2022,171
Jamal Agnew,JAX,5,5,37,1,17,12.0,2022,171
Marvin Jones,JAX,3,3,22,1,10,12.0,2022,171
Evan Engram,JAX,1,1,4,0,4,12.0,2022,171
Christian Kirk,JAX,9,4,46,0,17,12.0,2022,171
