Tm,G,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Team_URL
Atlanta Falcons,1,42,27,298,1,16,109,4.0,189,7.0,6.9,0,,0,0.0,,,
Buffalo Bills,1,46,33,394,2,18,246,7.5,148,4.5,8.7,1,33.0,2,4.3,,,
Carolina Panthers,1,35,18,154,1,8,94,5.2,60,3.3,7.3,0,,1,2.9,,,
Chicago Bears,1,35,21,210,1,10,133,6.3,77,3.7,7.5,2,10.5,1,2.9,,,
Cincinnati Bengals,1,23,14,113,1,7,64,4.6,49,3.5,7.3,0,,0,0.0,,,
Cleveland Browns,1,45,31,290,1,13,117,3.8,173,5.6,5.2,0,,0,0.0,,,
Indianapolis Colts,1,29,22,272,1,14,160,7.3,112,5.1,6.8,3,7.3,0,0.0,,,
Arizona Cardinals,1,29,21,163,2,11,63,3.0,100,4.8,5.4,2,10.5,0,0.0,,,
Dallas Cowboys,1,34,21,188,0,9,113,5.4,75,3.6,9.7,0,,0,0.0,,,
Denver Broncos,1,40,25,176,1,9,82,3.3,94,3.8,5.6,0,,0,0.0,,,
Detroit Lions,1,39,31,225,1,13,104,3.4,121,3.9,4.2,0,,0,0.0,,,
Green Bay Packers,1,22,16,188,2,8,149,9.3,39,2.4,11.5,0,,0,0.0,,,
Houston Texans,1,27,19,188,0,7,115,6.1,73,3.8,5.7,0,,0,0.0,,,
Jacksonville Jaguars,1,31,19,178,1,9,98,5.2,80,4.2,7.4,1,19.0,2,6.5,,,
Kansas City Chiefs,1,39,24,258,1,9,142,5.9,116,4.8,6.9,2,12.0,1,2.6,,,
Miami Dolphins,1,31,19,146,1,9,67,3.5,79,4.2,6.9,3,6.3,2,6.5,,,
Minnesota Vikings,1,20,13,143,2,5,75,5.8,68,5.2,6.9,1,13.0,0,0.0,,,
New Orleans Saints,1,46,27,214,0,12,129,4.8,85,3.1,6.4,0,,0,0.0,,,
New England Patriots,1,46,30,287,1,15,173,5.8,114,3.8,7.7,0,,0,0.0,,,
New York Giants,1,37,17,168,0,9,84,4.9,84,4.9,4.8,3,5.7,0,0.0,,,
New York Jets,1,22,16,218,1,9,142,8.9,76,4.8,7.0,1,16.0,0,0.0,,,
Tennessee Titans,1,28,12,112,0,5,48,4.0,64,5.3,10.4,0,,0,0.0,,,
Philadelphia Eagles,1,23,19,152,0,6,91,4.8,61,3.2,3.9,0,,0,0.0,,,
Pittsburgh Steelers,1,30,22,244,4,14,71,3.2,173,7.9,4.3,2,11.0,1,3.3,,,
Las Vegas Raiders,1,34,24,362,1,17,222,9.3,140,5.8,10.3,0,,0,0.0,,,
Los Angeles Rams,1,29,21,245,1,13,177,8.4,68,3.2,8.2,0,,0,0.0,,,
Baltimore Ravens,1,19,14,209,2,8,100,7.1,109,7.8,9.1,0,,0,0.0,,,
Los Angeles Chargers,1,34,25,318,3,16,184,7.4,134,5.4,10.1,2,12.5,0,0.0,,,
Seattle Seahawks,1,23,16,150,0,6,103,6.4,47,2.9,8.6,0,,0,0.0,,,
San Francisco 49ers,1,35,26,277,2,15,156,6.0,121,4.7,7.3,0,,0,0.0,,,
Tampa Bay Buccaneers,1,32,17,167,3,10,122,7.2,45,2.6,9.5,0,,0,0.0,,,
Washington Commanders,1,30,19,233,1,11,136,7.2,97,5.1,9.2,0,,0,0.0,,,
