Unnamed: 0,IND,NWE,week,year,game_id
First Downs,8,11,9.0,2022,131
Rush-Yds-TDs,22-78-0,28-70-0,9.0,2022,131
Cmp-Att-Yd-TD-INT,15-29-103-0-1,20-30-147-1-0,9.0,2022,131
Sacked-Yards,9-60,4-14,9.0,2022,131
Net Pass Yards,43,133,9.0,2022,131
Total Yards,121,203,9.0,2022,131
Fumbles-Lost,0-0,2-1,9.0,2022,131
Turnovers,1,1,9.0,2022,131
Penalties-Yards,2-15,4-35,9.0,2022,131
Third Down Conv.,0-14,6-17,9.0,2022,131
Fourth Down Conv.,0-2,0-0,9.0,2022,131
Time of Possession,28:54,31:06,9.0,2022,131
