Quarter,Time,Down,ToGo,Location,CAR,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Bengals to receive the opening kickoff.",,,9.0,2022,129
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 67 yards, returned by Chris Evans for 22 yards (tackle by Sam Franklin). Penalty on Clay Johnston: Offensive Holding, 10 yards (accepted)",0.0,-0.38,9.0,2022,129
1.0,14:54,1.0,10.0,CIN 10,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 5 yards (tackle by C.J. Henderson),-0.38,-0.35,9.0,2022,129
1.0,14:18,2.0,5.0,CIN 15,0.0,0.0,Joe Mixon up the middle for 3 yards (tackle by Myles Hartsfield),-0.35,-0.48,9.0,2022,129
1.0,13:41,3.0,2.0,CIN 18,0.0,0.0,Joe Burrow pass complete short middle to Hayden Hurst for 5 yards (tackle by Myles Hartsfield),-0.48,0.48,9.0,2022,129
1.0,13:07,1.0,10.0,CIN 23,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by C.J. Henderson),0.48,1.15,9.0,2022,129
1.0,12:24,2.0,1.0,CIN 32,0.0,0.0,Joe Burrow pass complete short left to Tyler Boyd for 15 yards (tackle by C.J. Henderson),1.15,2.06,9.0,2022,129
1.0,11:57,1.0,10.0,CIN 47,0.0,0.0,Joe Burrow pass complete short left to Joe Mixon for 35 yards (tackle by Keith Taylor),2.06,4.37,9.0,2022,129
1.0,11:12,1.0,10.0,CAR 18,0.0,0.0,Samaje Perine right tackle for 9 yards (tackle by Damien Wilson and Bravvion Roy),4.37,5.42,9.0,2022,129
1.0,10:27,2.0,1.0,CAR 9,0.0,0.0,Joe Mixon right guard for 7 yards (tackle by Shaq Thompson and Derrick Brown),5.42,6.74,9.0,2022,129
1.0,9:45,1.0,2.0,CAR 2,0.0,6.0,"Joe Mixon left tackle for 2 yards, touchdown",6.74,7.0,9.0,2022,129
