Unnamed: 0,SEA,ARI,week,year,game_id
First Downs,27,15,9.0,2022,133
Rush-Yds-TDs,34-158-2,21-122-0,9.0,2022,133
Cmp-Att-Yd-TD-INT,26-34-275-2-1,25-35-175-2-0,9.0,2022,133
Sacked-Yards,2-12,5-35,9.0,2022,133
Net Pass Yards,263,140,9.0,2022,133
Total Yards,421,262,9.0,2022,133
Fumbles-Lost,1-0,3-1,9.0,2022,133
Turnovers,1,1,9.0,2022,133
Penalties-Yards,6-34,12-77,9.0,2022,133
Third Down Conv.,10-15,6-14,9.0,2022,133
Fourth Down Conv.,0-1,0-2,9.0,2022,133
Time of Possession,34:31,25:29,9.0,2022,133
