Unnamed: 0,PHI,HOU,week,year,game_id
First Downs,24,20,9.0,2022,124
Rush-Yds-TDs,31-143-2,32-168-0,9.0,2022,124
Cmp-Att-Yd-TD-INT,21-27-243-2-0,13-22-154-2-2,9.0,2022,124
Sacked-Yards,4-26,3-19,9.0,2022,124
Net Pass Yards,217,135,9.0,2022,124
Total Yards,360,303,9.0,2022,124
Fumbles-Lost,2-1,0-0,9.0,2022,124
Turnovers,1,2,9.0,2022,124
Penalties-Yards,4-31,4-24,9.0,2022,124
Third Down Conv.,5-10,2-9,9.0,2022,124
Fourth Down Conv.,2-2,0-0,9.0,2022,124
Time of Possession,28:13,31:47,9.0,2022,124
