Quarter,Time,Tm,Detail,CAR,CIN,week,year,game_id
1.0,9:42,Bengals,Joe Mixon 2 yard rush (Evan McPherson kick),0,7,9.0,2022,129
2.0,14:37,Bengals,Joe Burrow 1 yard rush (Evan McPherson kick),0,14,9.0,2022,129
,7:29,Bengals,Joe Mixon 3 yard rush (Evan McPherson kick),0,21,9.0,2022,129
,3:45,Bengals,Joe Mixon 1 yard rush (Evan McPherson kick),0,28,9.0,2022,129
,0:04,Bengals,Joe Mixon 12 yard pass from Joe Burrow (Evan McPherson kick),0,35,9.0,2022,129
3.0,10:52,Panthers,Tommy Tremble 8 yard pass from Baker Mayfield (Eddy Piñeiro kick),7,35,9.0,2022,129
,4:38,Bengals,Joe Mixon 14 yard rush (Evan McPherson kick),7,42,9.0,2022,129
4.0,7:47,Panthers,Terrace Marshall Jr. 21 yard pass from Baker Mayfield (Eddy Piñeiro kick),14,42,9.0,2022,129
,1:29,Panthers,Raheem Blackshear 2 yard rush (Eddy Piñeiro kick),21,42,9.0,2022,129
