Quarter,Time,Down,ToGo,Location,LAR,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Rams to receive the opening kickoff.",,,9.0,2022,134
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 67 yards, returned by Brandon Powell for 29 yards (tackle by Jake Camarda)",0.0,0.74,9.0,2022,134
1.0,14:55,1.0,10.0,LAR 27,0.0,0.0,Matthew Stafford pass incomplete short right intended for Darrell Henderson,0.74,0.2,9.0,2022,134
1.0,14:50,2.0,10.0,LAR 27,0.0,0.0,Darrell Henderson right guard for 5 yards (tackle by Anthony Nelson and Keanu Neal),0.2,0.17,9.0,2022,134
1.0,14:06,3.0,5.0,LAR 32,0.0,0.0,Matthew Stafford pass incomplete short right intended for Tyler Higbee,0.17,-1.24,9.0,2022,134
1.0,14:01,4.0,5.0,LAR 32,0.0,0.0,"Riley Dixon punts 41 yards, returned by Jaelon Darden for 17 yards (tackle by Riley Dixon)",-1.24,-1.86,9.0,2022,134
1.0,13:51,1.0,10.0,TAM 44,0.0,0.0,Leonard Fournette up the middle for 3 yards (tackle by Bobby Wagner),1.86,1.72,9.0,2022,134
1.0,13:20,2.0,7.0,TAM 47,0.0,0.0,Tom Brady pass incomplete short left intended for Mike Evans (defended by Troy Hill),1.72,1.03,9.0,2022,134
1.0,13:09,3.0,7.0,TAM 47,0.0,0.0,Tom Brady pass complete short middle to Mike Evans for 10 yards (tackle by Leonard Floyd and Taylor Rapp),1.03,2.72,9.0,2022,134
1.0,12:42,1.0,10.0,LAR 43,0.0,0.0,"Leonard Fournette up the middle for no gain (tackle by Justin Hollins). Penalty on Robert Hainsey: Offensive Holding, 10 yards (accepted) (no play)",2.72,2.06,9.0,2022,134
1.0,12:28,1.0,20.0,TAM 47,0.0,0.0,Leonard Fournette left end for 6 yards (tackle by Ernest Jones and Jalen Ramsey),2.06,1.64,9.0,2022,134
1.0,11:43,2.0,14.0,LAR 47,0.0,0.0,Tom Brady pass complete short left to Julio Jones for 19 yards (tackle by Derion Kendrick),1.64,3.71,9.0,2022,134
1.0,10:59,1.0,10.0,LAR 28,0.0,0.0,Leonard Fournette right guard for 2 yards (tackle by Nick Scott),3.71,3.44,9.0,2022,134
1.0,10:27,2.0,8.0,LAR 26,0.0,0.0,Tom Brady pass complete short left to Chris Godwin for 2 yards (tackle by Troy Hill),3.44,3.01,9.0,2022,134
1.0,9:52,3.0,6.0,LAR 24,0.0,0.0,Tom Brady pass complete short middle to Mike Evans for 13 yards (tackle by Taylor Rapp),3.01,4.84,9.0,2022,134
1.0,9:11,1.0,10.0,LAR 11,0.0,0.0,Leonard Fournette up the middle for 1 yard (tackle by A'Shawn Robinson),4.84,4.32,9.0,2022,134
1.0,8:25,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,9.0,2022,134
1.0,8:25,2.0,9.0,LAR 10,0.0,0.0,Tom Brady pass complete short middle to Leonard Fournette for 7 yards (tackle by Ernest Jones and Bobby Wagner),4.32,4.89,9.0,2022,134
1.0,8:06,3.0,2.0,LAR 3,0.0,0.0,Leonard Fournette up the middle for 1 yard (tackle by A'Shawn Robinson and Bobby Wagner),4.89,3.25,9.0,2022,134
