Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
D'Onta Foreman,CAR,7,23,0,1.0,16,2.3,7,1.0,0,,9.0,2022,129
Raheem Blackshear,CAR,5,13,1,2.0,12,2.4,1,0.2,0,,9.0,2022,129
Spencer Brown,CAR,3,16,0,1.0,11,3.7,5,1.7,0,,9.0,2022,129
Laviska Shenault Jr.,CAR,2,6,0,,4,2.0,2,1.0,0,,9.0,2022,129
P.J. Walker,CAR,1,6,0,,3,3.0,3,3.0,0,,9.0,2022,129
Joe Mixon,CIN,22,153,4,12.0,69,3.1,84,3.8,2,11.0,9.0,2022,129
Samaje Perine,CIN,6,51,0,2.0,25,4.2,26,4.3,0,,9.0,2022,129
Joe Burrow,CIN,4,9,1,3.0,5,1.3,4,1.0,0,,9.0,2022,129
Brandon Allen,CIN,3,-1,0,1.0,-1,-0.3,0,0.0,0,,9.0,2022,129
Trent Taylor,CIN,3,18,0,,15,5.0,3,1.0,1,3.0,9.0,2022,129
Trenton Irwin,CIN,1,11,0,1.0,8,8.0,3,3.0,0,,9.0,2022,129
