Quarter,Time,Down,ToGo,Location,MIA,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Bears to receive the opening kickoff.",,,9.0,2022,130
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,130
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,Justin Fields pass complete short right to Cole Kmet for 7 yards (tackle by Eric Rowe),0.61,1.01,9.0,2022,130
1.0,14:24,2.0,3.0,CHI 32,0.0,0.0,Justin Fields pass complete short middle to Dante Pettis for 12 yards (tackle by Jevon Holland),1.01,1.86,9.0,2022,130
1.0,13:44,1.0,10.0,CHI 44,0.0,0.0,Justin Fields pass complete short left to Chase Claypool for 1 yard (tackle by Kader Kohou),1.86,1.45,9.0,2022,130
1.0,13:07,2.0,9.0,CHI 45,0.0,0.0,David Montgomery left tackle for 7 yards (tackle by Jaelan Phillips),1.45,1.69,9.0,2022,130
1.0,12:30,3.0,2.0,MIA 48,0.0,0.0,Justin Fields pass incomplete intended for Chase Claypool,1.69,1.16,9.0,2022,130
1.0,12:30,3.0,10.0,MIA 48,0.0,0.0,"Penalty on Keion Crossen: Defensive Pass Interference, 28 yards (accepted) (no play)",1.16,4.24,9.0,2022,130
1.0,12:23,1.0,10.0,MIA 20,0.0,0.0,David Montgomery right guard for no gain (tackle by Jerome Baker and John Jenkins),4.24,3.69,9.0,2022,130
1.0,11:42,2.0,10.0,MIA 20,0.0,0.0,Justin Fields pass incomplete deep right intended for Darnell Mooney,3.69,3.01,9.0,2022,130
1.0,11:37,3.0,10.0,MIA 20,0.0,0.0,Justin Fields scrambles right end for 6 yards (tackle by Jevon Holland),3.01,2.58,9.0,2022,130
1.0,11:07,4.0,4.0,MIA 14,0.0,3.0,Cairo Santos 32 yard field goal good,2.58,3.0,9.0,2022,130
1.0,11:03,,,CHI 35,0.0,3.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,130
1.0,11:03,1.0,10.0,MIA 25,0.0,3.0,Raheem Mostert left tackle for 2 yards (tackle by Jack Sanborn),0.61,0.33,9.0,2022,130
1.0,10:25,2.0,8.0,MIA 27,0.0,3.0,Tua Tagovailoa pass complete deep middle to Jaylen Waddle for 17 yards (tackle by Jaquan Brisker),0.33,1.86,9.0,2022,130
1.0,9:49,1.0,10.0,MIA 44,0.0,3.0,Tua Tagovailoa pass complete short left to Mike Gesicki for 3 yards (tackle by Jaquan Brisker),1.86,1.72,9.0,2022,130
1.0,9:11,2.0,7.0,MIA 47,0.0,3.0,Raheem Mostert right end for 2 yards (tackle by Joe Thomas),1.72,1.29,9.0,2022,130
1.0,8:28,3.0,5.0,MIA 49,0.0,3.0,Tua Tagovailoa pass complete deep middle to Trent Sherfield for 18 yards (tackle by Eddie Jackson),1.29,3.38,9.0,2022,130
1.0,7:42,1.0,10.0,CHI 33,0.0,3.0,"Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill. Penalty on Kindle Vildor: Defensive Pass Interference, 32 yards (accepted) (no play)",3.38,6.97,9.0,2022,130
1.0,7:35,1.0,1.0,CHI 1,6.0,3.0,"Raheem Mostert right guard for 1 yard, touchdown",6.97,7.0,9.0,2022,130
1.0,7:33,,,CHI 15,7.0,3.0,Jason Sanders kicks extra point good,0.0,0.0,9.0,2022,130
1.0,7:33,,,MIA 35,7.0,3.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,130
1.0,7:33,1.0,10.0,CHI 25,7.0,3.0,David Montgomery right end for 1 yard (tackle by Jerome Baker),0.61,0.2,9.0,2022,130
1.0,6:56,2.0,9.0,CHI 26,7.0,3.0,Cole Kmet left end for 8 yards (tackle by Jerome Baker),0.2,0.56,9.0,2022,130
1.0,6:21,3.0,1.0,CHI 34,7.0,3.0,Cole Kmet up the middle for 1 yard (tackle by Elandon Roberts and Zach Sieler),0.56,1.27,9.0,2022,130
1.0,5:40,1.0,10.0,CHI 35,7.0,3.0,Justin Fields pass incomplete short right intended for Chase Claypool,1.27,0.72,9.0,2022,130
1.0,5:37,2.0,10.0,CHI 35,7.0,3.0,Justin Fields pass complete short left to Chase Claypool for 12 yards (tackle by Elandon Roberts),0.72,2.06,9.0,2022,130
1.0,5:04,1.0,10.0,CHI 47,7.0,3.0,Justin Fields pass complete short right to Darnell Mooney for 2 yards (tackle by Jerome Baker),2.06,1.79,9.0,2022,130
1.0,4:25,2.0,8.0,CHI 49,7.0,3.0,Justin Fields pass incomplete short left intended for Chase Claypool,1.79,1.09,9.0,2022,130
1.0,4:22,3.0,8.0,CHI 49,7.0,3.0,Justin Fields scrambles right tackle for 12 yards (tackle by Keion Crossen),1.09,2.98,9.0,2022,130
1.0,3:37,1.0,10.0,MIA 39,7.0,3.0,Khalil Herbert left tackle for 4 yards (tackle by Elandon Roberts and Jaelan Phillips),2.98,2.98,9.0,2022,130
1.0,3:01,2.0,6.0,MIA 35,7.0,3.0,Khalil Herbert right guard for 4 yards (tackle by Jerome Baker and Elandon Roberts),2.98,2.81,9.0,2022,130
1.0,2:23,3.0,2.0,MIA 31,7.0,3.0,David Montgomery right guard for 3 yards (tackle by Elandon Roberts and Elijah Campbell),2.81,3.71,9.0,2022,130
1.0,1:44,1.0,10.0,MIA 28,7.0,3.0,David Montgomery left end for 1 yard (tackle by Kader Kohou),3.71,3.3,9.0,2022,130
1.0,0:57,2.0,9.0,MIA 27,7.0,3.0,David Montgomery left end for -1 yards (tackle by Christian Wilkins),3.3,2.48,9.0,2022,130
1.0,0:18,3.0,10.0,MIA 28,7.0,3.0,Justin Fields pass complete short right to Darnell Mooney for 10 yards (tackle by Kader Kohou),2.48,4.37,9.0,2022,130
2.0,15:00,1.0,10.0,MIA 18,7.0,9.0,"Justin Fields pass complete short right to Cole Kmet for 18 yards, touchdown",4.37,7.0,9.0,2022,130
2.0,14:52,,,MIA 15,7.0,10.0,Cairo Santos kicks extra point good,0.0,0.0,9.0,2022,130
2.0,14:52,,,CHI 35,7.0,10.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,130
2.0,14:46,1.0,10.0,MIA 25,7.0,10.0,"Tua Tagovailoa pass complete to Tyreek Hill for 7 yards. Penalty on Terron Armstead: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.61,0.28,9.0,2022,130
2.0,14:23,1.0,15.0,MIA 20,7.0,10.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 25 yards (tackle by Jaquan Brisker),0.28,1.93,9.0,2022,130
2.0,13:47,1.0,10.0,MIA 45,7.0,10.0,Tua Tagovailoa pass complete short left to Trent Sherfield for 1 yard (tackle by Kyler Gordon and Jaylon Jones),1.93,1.52,9.0,2022,130
2.0,13:10,2.0,9.0,MIA 46,7.0,10.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 26 yards (tackle by Eddie Jackson),1.52,3.71,9.0,2022,130
2.0,12:29,1.0,10.0,CHI 28,7.0,10.0,Tua Tagovailoa pass complete short left to Cedrick Wilson for 14 yards (tackle by Eddie Jackson),3.71,4.65,9.0,2022,130
2.0,11:51,1.0,10.0,CHI 14,7.0,10.0,Jeff Wilson right guard for 4 yards (tackle by Jack Sanborn),4.65,4.71,9.0,2022,130
2.0,11:05,2.0,6.0,CHI 10,7.0,10.0,"Tua Tagovailoa pass complete short right to Jeff Wilson for 4 yards (tackle by Nicholas Morrow). Penalty on Dominique Robinson: Roughing the Passer, 3 yards (accepted)",4.71,6.51,9.0,2022,130
2.0,10:42,,,,,,Timeout #1 by Miami Dolphins,,,9.0,2022,130
2.0,10:42,1.0,3.0,CHI 3,13.0,10.0,"Tua Tagovailoa pass complete short right to Tyreek Hill for 3 yards, touchdown",6.51,7.0,9.0,2022,130
2.0,10:39,,,CHI 15,14.0,10.0,Jason Sanders kicks extra point good,0.0,0.0,9.0,2022,130
2.0,10:39,,,MIA 35,14.0,10.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,130
2.0,10:39,1.0,10.0,CHI 25,14.0,10.0,Justin Fields left end for 10 yards (tackle by Kader Kohou),0.61,1.27,9.0,2022,130
2.0,10:00,1.0,10.0,CHI 35,14.0,10.0,Khalil Herbert left guard for 2 yards (tackle by Zach Sieler and Jaelan Phillips),1.27,0.99,9.0,2022,130
2.0,9:23,2.0,8.0,CHI 37,14.0,10.0,Khalil Herbert left guard for 3 yards (tackle by Christian Wilkins and Elandon Roberts),0.99,0.7,9.0,2022,130
2.0,8:39,3.0,5.0,CHI 40,14.0,10.0,Justin Fields pass incomplete deep right intended for Equanimeous St. Brown,0.7,-0.72,9.0,2022,130
2.0,8:33,4.0,5.0,CHI 40,20.0,10.0,"Trenton Gill punts blocked by Jaelan Phillips, touchdown",-0.72,-7.0,9.0,2022,130
2.0,8:25,,,CHI 15,21.0,10.0,Jason Sanders kicks extra point good,0.0,0.0,9.0,2022,130
2.0,8:25,,,MIA 35,21.0,10.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,130
2.0,8:25,1.0,10.0,CHI 25,21.0,10.0,Justin Fields pass complete short left to Cole Kmet for 2 yards (tackle by Eric Rowe),0.61,0.33,9.0,2022,130
2.0,7:55,2.0,8.0,CHI 27,21.0,10.0,Justin Fields left end for 17 yards (tackle by Jevon Holland),0.33,1.86,9.0,2022,130
2.0,7:24,1.0,10.0,CHI 44,21.0,10.0,David Montgomery left tackle for 4 yards (tackle by Zach Sieler and Elandon Roberts),1.86,1.86,9.0,2022,130
2.0,6:40,2.0,6.0,CHI 48,21.0,10.0,Justin Fields left tackle for 7 yards (tackle by Eric Rowe),1.86,2.59,9.0,2022,130
2.0,6:03,1.0,10.0,MIA 45,21.0,10.0,David Montgomery right tackle for 3 yards (tackle by Eric Rowe and Xavien Howard),2.59,2.38,9.0,2022,130
2.0,5:25,2.0,8.0,MIA 42,21.0,10.0,Justin Fields pass complete short left to N'Keal Harry for 6 yards (tackle by Kader Kohou and Eric Rowe),2.38,2.54,9.0,2022,130
2.0,4:56,3.0,1.0,MIA 36,21.0,10.0,Justin Fields right guard for 2 yards (tackle by Jaelan Phillips and Christian Wilkins),2.54,3.31,9.0,2022,130
2.0,4:15,1.0,10.0,MIA 34,21.0,10.0,Justin Fields pass complete short left to David Montgomery for 8 yards (tackle by Noah Igbinoghene),3.31,3.85,9.0,2022,130
2.0,3:45,2.0,2.0,MIA 26,21.0,10.0,David Montgomery left tackle for 8 yards (tackle by Zach Sieler),3.85,4.37,9.0,2022,130
2.0,3:03,1.0,10.0,MIA 18,21.0,10.0,David Montgomery left guard for no gain (tackle by Zach Sieler and Raekwon Davis),4.37,3.8,9.0,2022,130
2.0,2:23,2.0,10.0,MIA 18,21.0,10.0,Darnell Mooney right end for 2 yards (tackle by Kader Kohou),3.8,3.3,9.0,2022,130
2.0,2:00,3.0,8.0,MIA 16,21.0,16.0,"Justin Fields pass complete deep left to Darnell Mooney for 16 yards, touchdown",3.3,7.0,9.0,2022,130
2.0,1:53,,,MIA 15,21.0,17.0,Cairo Santos kicks extra point good,0.0,0.0,9.0,2022,130
2.0,1:53,,,CHI 35,21.0,17.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,130
2.0,1:53,1.0,10.0,MIA 25,21.0,17.0,Raheem Mostert right guard for 14 yards (tackle by Kyler Gordon and Eddie Jackson),0.61,1.53,9.0,2022,130
2.0,1:12,1.0,10.0,MIA 39,21.0,17.0,Tua Tagovailoa scrambles left end for 4 yards (tackle by Al-Quadin Muhammad),1.53,1.53,9.0,2022,130
2.0,1:04,2.0,6.0,MIA 43,21.0,17.0,Tua Tagovailoa pass incomplete short middle intended for Raheem Mostert,1.53,0.83,9.0,2022,130
2.0,1:00,3.0,6.0,MIA 43,21.0,17.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 39 yards (tackle by Jaylon Johnson),0.83,4.37,9.0,2022,130
2.0,0:52,1.0,10.0,CHI 18,21.0,17.0,Raheem Mostert left end for no gain (tackle by Nicholas Morrow),4.37,3.8,9.0,2022,130
2.0,0:25,2.0,10.0,CHI 18,21.0,17.0,"Penalty on MIA: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",3.8,3.15,9.0,2022,130
2.0,0:25,,,,,,Timeout #2 by Miami Dolphins,,,9.0,2022,130
2.0,0:25,2.0,15.0,CHI 23,21.0,17.0,Tua Tagovailoa pass incomplete short right intended for Raheem Mostert,3.15,2.48,9.0,2022,130
2.0,0:20,3.0,15.0,CHI 23,21.0,17.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 12 yards (tackle by Kyler Gordon),2.48,2.8,9.0,2022,130
2.0,0:12,,,,,,Timeout #3 by Miami Dolphins,,,9.0,2022,130
2.0,0:12,4.0,3.0,CHI 11,21.0,17.0,Jason Sanders 29 yard field goal no good,2.8,-0.28,9.0,2022,130
2.0,0:07,1.0,10.0,CHI 20,21.0,17.0,Justin Fields kneels for -1 yards,0.28,-0.46,9.0,2022,130
3.0,15:00,,,CHI 35,21.0,17.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,130
3.0,15:00,1.0,10.0,MIA 25,21.0,17.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 22 yards (tackle by Kyler Gordon),0.61,2.06,9.0,2022,130
3.0,14:24,1.0,10.0,MIA 47,21.0,17.0,Jeff Wilson right tackle for 28 yards (tackle by Eddie Jackson),2.06,3.91,9.0,2022,130
3.0,13:36,1.0,10.0,CHI 25,21.0,17.0,Jeff Wilson right guard for 7 yards (tackle by Jaquan Brisker and Jaylon Johnson),3.91,4.37,9.0,2022,130
3.0,12:53,2.0,3.0,CHI 18,27.0,17.0,"Tua Tagovailoa pass complete deep left to Jaylen Waddle for 18 yards, touchdown",4.37,7.0,9.0,2022,130
3.0,12:47,,,CHI 15,28.0,17.0,Jason Sanders kicks extra point good,0.0,0.0,9.0,2022,130
3.0,12:47,,,MIA 35,28.0,17.0,"Jason Sanders kicks off 61 yards, returned by Khalil Herbert for 30 yards (tackle by Jason Sanders)",0.0,1.2,9.0,2022,130
3.0,12:40,1.0,10.0,CHI 34,28.0,17.0,Justin Fields pass complete short left to Darnell Mooney for 2 yards (tackle by Eric Rowe),1.2,0.93,9.0,2022,130
3.0,12:10,2.0,8.0,CHI 36,28.0,17.0,Khalil Herbert left tackle for 3 yards (tackle by Elandon Roberts),0.93,0.63,9.0,2022,130
3.0,11:32,3.0,5.0,CHI 39,28.0,23.0,"Justin Fields scrambles left tackle for 61 yards, touchdown",0.63,7.0,9.0,2022,130
3.0,11:20,,,MIA 2,28.0,25.0,Two Point Attempt: Justin Fields pass complete to to Trevon Wesco for no gain,1.0,1.0,9.0,2022,130
3.0,11:20,,,CHI 35,28.0,25.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,130
3.0,11:20,1.0,10.0,MIA 25,28.0,25.0,Tua Tagovailoa pass incomplete deep right intended for Jaylen Waddle (defended by Nicholas Morrow),0.61,0.06,9.0,2022,130
3.0,11:13,2.0,10.0,MIA 25,28.0,25.0,Tua Tagovailoa pass complete short left to Trent Sherfield for 8 yards (tackle by Jaylon Johnson),0.06,0.43,9.0,2022,130
3.0,10:34,3.0,2.0,MIA 33,28.0,25.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 12 yards (tackle by Jaylon Johnson),0.43,1.93,9.0,2022,130
3.0,9:54,1.0,10.0,MIA 45,28.0,25.0,Jeff Wilson left end for 1 yard (tackle by Jack Sanborn),1.93,1.52,9.0,2022,130
