Quarter,Time,Tm,Detail,MIN,WAS,week,year,game_id
1.0,9:17,Vikings,Justin Jefferson 9 yard pass from Kirk Cousins (Greg Joseph kick),7,0,9.0,2022,127
2.0,0:37,Commanders,Joey Slye 44 yard field goal,7,3,9.0,2022,127
3.0,14:01,Commanders,Curtis Samuel 49 yard pass from Taylor Heinicke (Joey Slye kick),7,10,9.0,2022,127
4.0,14:12,Commanders,Dax Milne 6 yard pass from Taylor Heinicke (Joey Slye kick),7,17,9.0,2022,127
,10:46,Vikings,Greg Joseph 25 yard field goal,10,17,9.0,2022,127
,7:46,Vikings,Dalvin Cook 12 yard pass from Kirk Cousins (Greg Joseph kick),17,17,9.0,2022,127
,0:12,Vikings,Greg Joseph 28 yard field goal,20,17,9.0,2022,127
