Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Bills to receive the opening kickoff.",,,9.0,2022,125
1.0,15:00,,,NYJ 35,0.0,0.0,"Braden Mann kicks off 20 yards, returned by Cameron Lewis for no gain (tackle by Justin Hardee)",0.0,1.93,9.0,2022,125
1.0,14:58,1.0,10.0,BUF 45,0.0,0.0,Josh Allen pass complete deep right to Stefon Diggs for 42 yards (tackle by Lamarcus Joyner),1.93,4.71,9.0,2022,125
1.0,14:21,1.0,10.0,NYJ 13,0.0,0.0,Josh Allen pass incomplete short right intended for James Cook,4.71,4.05,9.0,2022,125
1.0,14:17,2.0,10.0,NYJ 13,0.0,0.0,Josh Allen pass short right intended for Dawson Knox is intercepted by Jordan Whitehead at NYJ-9 and returned for 5 yards,4.05,0.28,9.0,2022,125
1.0,14:11,1.0,10.0,NYJ 14,0.0,0.0,Michael Carter left end for -4 yards (tackle by Gregory Rousseau),-0.28,-1.07,9.0,2022,125
1.0,13:26,2.0,14.0,NYJ 10,0.0,0.0,Zach Wilson pass incomplete deep right intended for Denzel Mims,-1.07,-1.89,9.0,2022,125
1.0,13:17,3.0,14.0,NYJ 10,0.0,0.0,Ty Johnson up the middle for 12 yards (tackle by Dane Jackson and Damar Hamlin),-1.89,-1.9,9.0,2022,125
1.0,12:33,4.0,2.0,NYJ 22,0.0,0.0,"Braden Mann punts 63 yards, returned by Nyheim Hines for 18 yards (tackle by Jamien Sherwood)",-1.9,-1.14,9.0,2022,125
1.0,12:21,1.0,10.0,BUF 33,0.0,0.0,Devin Singletary up the middle for 1 yard (tackle by Sheldon Rankins and Quinnen Williams),1.14,0.73,9.0,2022,125
1.0,11:50,2.0,9.0,BUF 34,0.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 13 yards (tackle by Michael Carter),0.73,2.06,9.0,2022,125
1.0,11:09,1.0,10.0,BUF 47,0.0,0.0,Josh Allen pass incomplete deep left intended for Jake Kumerow,2.06,1.52,9.0,2022,125
1.0,11:04,2.0,10.0,BUF 47,0.0,0.0,Devin Singletary left end for 5 yards (tackle by Vinny Curry),1.52,1.49,9.0,2022,125
1.0,10:18,3.0,5.0,NYJ 48,0.0,0.0,Josh Allen pass complete to Devin Singletary for 11 yards (tackle by Lamarcus Joyner),1.49,3.12,9.0,2022,125
1.0,9:40,1.0,10.0,NYJ 37,0.0,0.0,James Cook left guard for 6 yards (tackle by Micheal Clemons and D.J. Reed),3.12,3.38,9.0,2022,125
1.0,9:12,2.0,4.0,NYJ 31,0.0,0.0,Josh Allen pass complete short right to Dawson Knox for -1 yards (tackle by Quincy Williams),3.38,2.54,9.0,2022,125
1.0,8:32,3.0,5.0,NYJ 32,0.0,0.0,Josh Allen up the middle for 7 yards (tackle by Sauce Gardner and Lamarcus Joyner),2.54,3.91,9.0,2022,125
1.0,7:48,1.0,10.0,NYJ 25,0.0,0.0,Josh Allen pass complete short left to Dawson Knox for 9 yards (tackle by Jordan Whitehead),3.91,4.75,9.0,2022,125
1.0,7:00,2.0,1.0,NYJ 16,0.0,0.0,Devin Singletary up the middle for 4 yards (tackle by Jamien Sherwood),4.75,4.78,9.0,2022,125
1.0,6:24,1.0,10.0,NYJ 12,0.0,0.0,"Josh Allen sacked by and Kwon Alexander for -2 yards and Jamien Sherwood for -2 yards. Josh Allen fumbles (forced by Sheldon Rankins), recovered by Josh Allen at NYJ-14",4.78,3.79,9.0,2022,125
1.0,5:36,2.0,12.0,NYJ 14,0.0,0.0,Devin Singletary up the middle for 2 yards (tackle by Jamien Sherwood),3.79,3.12,9.0,2022,125
1.0,4:55,3.0,10.0,NYJ 12,0.0,0.0,"Josh Allen scrambles right tackle for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Josh Allen scrambles right tackle for 11 yards (tackle by Jamien Sherwood and Lamarcus Joyner)",3.12,6.97,9.0,2022,125
