Quarter,Time,Down,ToGo,Location,GNB,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Lions to receive the opening kickoff.",,,9.0,2022,126
1.0,15:00,,,GNB 35,0.0,0.0,"Mason Crosby kicks off 46 yards, recovered by Brandon Zylstra at DET-19 returned by Brandon Zylstra for 19 yards (tackle by Eric Wilson and Adrian Amos)",0.0,1.47,9.0,2022,126
1.0,14:54,1.0,10.0,DET 38,0.0,0.0,Jamaal Williams right tackle for 4 yards (tackle by Kenny Clark and Rashan Gary),1.47,1.46,9.0,2022,126
1.0,14:21,2.0,6.0,DET 42,0.0,0.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 11 yards (tackle by Quay Walker),1.46,2.46,9.0,2022,126
1.0,13:43,1.0,10.0,GNB 47,0.0,0.0,Jamaal Williams up the middle for 9 yards (tackle by Quay Walker),2.46,3.13,9.0,2022,126
1.0,13:11,2.0,1.0,GNB 38,0.0,0.0,Jamaal Williams right end for 2 yards (tackle by Dean Lowry),3.13,3.18,9.0,2022,126
1.0,12:36,1.0,10.0,GNB 36,0.0,0.0,Jared Goff pass complete short left to D'Andre Swift for 20 yards (tackle by Krys Barnes),3.18,4.51,9.0,2022,126
1.0,12:18,1.0,10.0,GNB 16,0.0,0.0,D'Andre Swift right tackle for 7 yards (tackle by Rasul Douglas),4.51,5.16,9.0,2022,126
1.0,11:45,2.0,3.0,GNB 9,0.0,0.0,Jared Goff pass incomplete short right,5.16,4.39,9.0,2022,126
1.0,11:39,3.0,3.0,GNB 9,0.0,0.0,Jamaal Williams up the middle for 2 yards (tackle by Krys Barnes),4.39,3.01,9.0,2022,126
1.0,10:55,4.0,1.0,GNB 7,0.0,0.0,Jared Goff pass incomplete short middle intended for Tom Kennedy,3.01,0.38,9.0,2022,126
1.0,10:51,1.0,10.0,GNB 7,0.0,0.0,Aaron Rodgers pass complete deep middle to Romeo Doubs for 18 yards (tackle by Kerby Joseph and Mike Hughes),-0.38,0.61,9.0,2022,126
1.0,10:07,1.0,10.0,GNB 25,0.0,0.0,Aaron Rodgers pass incomplete short right,0.61,0.06,9.0,2022,126
1.0,10:00,2.0,10.0,GNB 25,0.0,0.0,Aaron Rodgers pass incomplete short middle intended for Allen Lazard (defended by DeShon Elliott),0.06,-0.62,9.0,2022,126
1.0,9:56,3.0,10.0,GNB 25,0.0,0.0,Aaron Rodgers scrambles right tackle for 16 yards (tackle by Will Harris),-0.62,1.66,9.0,2022,126
1.0,9:11,1.0,10.0,GNB 41,0.0,0.0,Aaron Rodgers pass complete short left to Sammy Watkins for 9 yards (tackle by Kerby Joseph),1.66,2.34,9.0,2022,126
1.0,8:33,2.0,1.0,GNB 50,0.0,0.0,Aaron Rodgers pass incomplete short right intended for Sammy Watkins,2.34,1.62,9.0,2022,126
1.0,8:29,3.0,1.0,GNB 50,0.0,0.0,AJ Dillon up the middle for 2 yards (tackle by DeShon Elliott and Alex Anzalone),1.62,2.39,9.0,2022,126
1.0,7:45,1.0,10.0,DET 48,0.0,0.0,Aaron Jones right end for 9 yards (tackle by Malcolm Rodriguez and Kerby Joseph),2.39,3.06,9.0,2022,126
1.0,7:13,2.0,1.0,DET 39,0.0,0.0,AJ Dillon up the middle for 6 yards (tackle by Will Harris and Malcolm Rodriguez),3.06,3.38,9.0,2022,126
1.0,6:32,1.0,10.0,DET 33,0.0,0.0,Aaron Jones left end for 7 yards (tackle by Mike Hughes),3.38,3.78,9.0,2022,126
1.0,5:55,2.0,3.0,DET 26,0.0,0.0,Aaron Rodgers pass complete short left to Josiah Deguara for 2 yards (tackle by Aidan Hutchinson and Alim McNeill),3.78,3.34,9.0,2022,126
1.0,5:12,3.0,1.0,DET 24,0.0,0.0,Aaron Rodgers pass complete short right to Marcedes Lewis for 19 yards (tackle by Kerby Joseph and Derrick Barnes),3.34,6.06,9.0,2022,126
1.0,4:26,1.0,5.0,DET 5,0.0,0.0,"Aaron Rodgers pass short middle (defended by Derrick Barnes) intended for Allen Lazard is intercepted by Kerby Joseph in end zone and returned for no gain, touchback.",6.06,-0.28,9.0,2022,126
1.0,4:19,1.0,10.0,DET 20,0.0,0.0,Jamaal Williams right tackle for 3 yards (tackle by Dean Lowry and Eric Stokes),0.28,0.14,9.0,2022,126
