Unnamed: 0,LVR,JAX,week,year,game_id
First Downs,16,22,9.0,2022,132
Rush-Yds-TDs,19-73-0,37-168-2,9.0,2022,132
Cmp-Att-Yd-TD-INT,21-36-259-2-0,25-31-235-1-0,9.0,2022,132
Sacked-Yards,2-11,0-0,9.0,2022,132
Net Pass Yards,248,235,9.0,2022,132
Total Yards,321,403,9.0,2022,132
Fumbles-Lost,1-1,1-1,9.0,2022,132
Turnovers,1,1,9.0,2022,132
Penalties-Yards,5-45,4-30,9.0,2022,132
Third Down Conv.,3-12,9-15,9.0,2022,132
Fourth Down Conv.,1-3,0-0,9.0,2022,132
Time of Possession,27:35,32:25,9.0,2022,132
