Unnamed: 0,TEN,KAN,week,year,game_id
First Downs,9,29,9.0,2022,135
Rush-Yds-TDs,29-172-2,19-77-1,9.0,2022,135
Cmp-Att-Yd-TD-INT,5-16-80-0-0,43-68-446-1-1,9.0,2022,135
Sacked-Yards,3-23,4-24,9.0,2022,135
Net Pass Yards,57,422,9.0,2022,135
Total Yards,229,499,9.0,2022,135
Fumbles-Lost,0-0,0-0,9.0,2022,135
Turnovers,0,1,9.0,2022,135
Penalties-Yards,8-51,10-69,9.0,2022,135
Third Down Conv.,1-11,8-19,9.0,2022,135
Fourth Down Conv.,0-1,2-2,9.0,2022,135
Time of Possession,26:23,41:28,9.0,2022,135
