Quarter,Time,Tm,Detail,TEN,KAN,week,year,game_id
1,6:47,Chiefs,Harrison Butker 23 yard field goal,0,3,9.0,2022,135
2,14:55,Chiefs,Mecole Hardman 7 yard pass from Patrick Mahomes (Harrison Butker kick failed),0,9,9.0,2022,135
,10:48,Titans,Derrick Henry 4 yard rush (Randy Bullock kick),7,9,9.0,2022,135
,5:24,Titans,Derrick Henry 1 yard rush (Randy Bullock kick),14,9,9.0,2022,135
3,9:58,Titans,Randy Bullock 44 yard field goal,17,9,9.0,2022,135
4,2:56,Chiefs,Patrick Mahomes 14 yard rush (Patrick Mahomes run),17,17,9.0,2022,135
OT,4:04,Chiefs,Harrison Butker 28 yard field goal,17,20,9.0,2022,135
