Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Kirk Cousins,MIN,22,40,265,2,1,2,17,47,81.8,9.0,2022,127
Nick Mullens,MIN,1,1,-3,0,0,0,0,-3,79.2,9.0,2022,127
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,9.0,2022,127
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,9.0,2022,127
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,9.0,2022,127
T.J. Hockenson,MIN,0,0,0,0,0,0,0,0,,9.0,2022,127
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,9.0,2022,127
Johnny Mundt,MIN,0,0,0,0,0,0,0,0,,9.0,2022,127
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,9.0,2022,127
Taylor Heinicke,WAS,15,28,149,2,1,3,23,49,77.8,9.0,2022,127
Brian Robinson Jr.,WAS,0,0,0,0,0,0,0,0,,9.0,2022,127
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,,9.0,2022,127
Armani Rogers,WAS,0,0,0,0,0,0,0,0,,9.0,2022,127
Curtis Samuel,WAS,0,0,0,0,0,0,0,0,,9.0,2022,127
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,9.0,2022,127
Cam Sims,WAS,0,0,0,0,0,0,0,0,,9.0,2022,127
Dax Milne,WAS,0,0,0,0,0,0,0,0,,9.0,2022,127
John Bates,WAS,0,0,0,0,0,0,0,0,,9.0,2022,127
Logan Thomas,WAS,0,0,0,0,0,0,0,0,,9.0,2022,127
Dyami Brown,WAS,0,0,0,0,0,0,0,0,,9.0,2022,127
