Quarter,Time,Tm,Detail,LAR,TAM,week,year,game_id
1.0,7:16,Buccaneers,Ryan Succop 20 yard field goal,0,3,9.0,2022,134
2.0,12:57,Rams,Cooper Kupp 69 yard pass from Matthew Stafford (Matt Gay kick),7,3,9.0,2022,134
,0:24,Buccaneers,Ryan Succop 38 yard field goal,7,6,9.0,2022,134
3.0,9:14,Rams,Matt Gay 26 yard field goal,10,6,9.0,2022,134
,0:09,Rams,Matt Gay 35 yard field goal,13,6,9.0,2022,134
4.0,8:07,Buccaneers,Ryan Succop 50 yard field goal,13,9,9.0,2022,134
,0:09,Buccaneers,Cade Otton 1 yard pass from Tom Brady (Ryan Succop kick),13,16,9.0,2022,134
