Quarter,Time,Tm,Detail,BUF,NYJ,week,year,game_id
1.0,4:39,Bills,Josh Allen 1 yard rush (Tyler Bass kick),7,0,9.0,2022,125
,0:31,Jets,Greg Zuerlein 53 yard field goal,7,3,9.0,2022,125
2.0,6:30,Bills,Josh Allen 36 yard rush (Tyler Bass kick),14,3,9.0,2022,125
,0:32,Jets,Michael Carter 6 yard rush (Greg Zuerlein kick),14,10,9.0,2022,125
3.0,4:03,Jets,James Robinson 7 yard pass from Zach Wilson (Greg Zuerlein kick),14,17,9.0,2022,125
4.0,13:33,Bills,Tyler Bass 51 yard field goal,17,17,9.0,2022,125
,1:43,Jets,Greg Zuerlein 28 yard field goal,17,20,9.0,2022,125
