Unnamed: 0,MIA,CHI,week,year,game_id
First Downs,21,23,9.0,2022,130
Rush-Yds-TDs,23-77-1,40-252-1,9.0,2022,130
Cmp-Att-Yd-TD-INT,21-30-302-3-0,17-28-123-3-0,9.0,2022,130
Sacked-Yards,0-0,2-7,9.0,2022,130
Net Pass Yards,302,116,9.0,2022,130
Total Yards,379,368,9.0,2022,130
Fumbles-Lost,1-0,0-0,9.0,2022,130
Turnovers,0,0,9.0,2022,130
Penalties-Yards,3-38,4-92,9.0,2022,130
Third Down Conv.,5-10,10-16,9.0,2022,130
Fourth Down Conv.,0-2,1-2,9.0,2022,130
Time of Possession,25:14,34:46,9.0,2022,130
