Unnamed: 0,MIN,WAS,week,year,game_id
First Downs,17,18,9.0,2022,127
Rush-Yds-TDs,22-56-0,30-137-0,9.0,2022,127
Cmp-Att-Yd-TD-INT,23-41-262-2-1,15-28-149-2-1,9.0,2022,127
Sacked-Yards,2-17,3-23,9.0,2022,127
Net Pass Yards,245,126,9.0,2022,127
Total Yards,301,263,9.0,2022,127
Fumbles-Lost,0-0,0-0,9.0,2022,127
Turnovers,1,1,9.0,2022,127
Penalties-Yards,5-42,3-26,9.0,2022,127
Third Down Conv.,7-16,3-10,9.0,2022,127
Fourth Down Conv.,0-0,0-1,9.0,2022,127
Time of Possession,29:13,30:47,9.0,2022,127
