Unnamed: 0,BAL,NOR,week,year,game_id
First Downs,23,13,9.0,2022,136
Rush-Yds-TDs,40-188-2,15-48-0,9.0,2022,136
Cmp-Att-Yd-TD-INT,12-22-133-1-0,20-30-223-1-1,9.0,2022,136
Sacked-Yards,3-2,4-28,9.0,2022,136
Net Pass Yards,131,195,9.0,2022,136
Total Yards,319,243,9.0,2022,136
Fumbles-Lost,1-0,0-0,9.0,2022,136
Turnovers,0,1,9.0,2022,136
Penalties-Yards,5-31,5-40,9.0,2022,136
Third Down Conv.,9-15,3-11,9.0,2022,136
Fourth Down Conv.,0-0,1-1,9.0,2022,136
Time of Possession,37:47,22:13,9.0,2022,136
