Unnamed: 0,BUF,NYJ,week,year,game_id
First Downs,19,21,9.0,2022,125
Rush-Yds-TDs,22-134-2,34-174-1,9.0,2022,125
Cmp-Att-Yd-TD-INT,18-34-205-0-2,18-25-154-1-0,9.0,2022,125
Sacked-Yards,5-22,2-18,9.0,2022,125
Net Pass Yards,183,136,9.0,2022,125
Total Yards,317,310,9.0,2022,125
Fumbles-Lost,2-0,2-1,9.0,2022,125
Turnovers,2,1,9.0,2022,125
Penalties-Yards,3-30,3-30,9.0,2022,125
Third Down Conv.,8-13,5-13,9.0,2022,125
Fourth Down Conv.,0-1,2-2,9.0,2022,125
Time of Possession,27:16,32:44,9.0,2022,125
