Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Falcons to receive the opening kickoff.",,,9.0,2022,128
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,128
1.0,15:00,1.0,10.0,ATL 25,0.0,0.0,Marcus Mariota pass complete short right to Cordarrelle Patterson for 9 yards (tackle by Sebastian Joseph-Day),0.61,1.28,9.0,2022,128
1.0,14:23,2.0,1.0,ATL 34,0.0,0.0,Cordarrelle Patterson right end for 7 yards (tackle by Austin Johnson),1.28,1.66,9.0,2022,128
1.0,13:40,1.0,10.0,ATL 41,0.0,0.0,Tyler Allgeier right end for 44 yards (tackle by Nasir Adderley and Asante Samuel),1.66,4.58,9.0,2022,128
1.0,12:48,1.0,10.0,LAC 15,0.0,0.0,Marcus Mariota right end for 6 yards (tackle by Michael Davis),4.58,5.03,9.0,2022,128
1.0,12:07,2.0,4.0,LAC 9,0.0,0.0,Marcus Mariota pass complete short left to MyCole Pruitt for 6 yards (tackle by Asante Samuel),5.03,6.51,9.0,2022,128
1.0,11:24,1.0,3.0,LAC 3,0.0,0.0,Marcus Mariota pass incomplete short right intended for Drake London,6.51,5.53,9.0,2022,128
1.0,11:19,2.0,3.0,LAC 3,0.0,0.0,Cordarrelle Patterson right tackle for 2 yards (tackle by Drue Tranquill),5.53,5.17,9.0,2022,128
1.0,10:43,3.0,1.0,LAC 1,0.0,6.0,"Cordarrelle Patterson left tackle for 1 yard, touchdown",5.17,7.0,9.0,2022,128
1.0,10:40,,,LAC 15,0.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,9.0,2022,128
1.0,10:40,,,ATL 35,0.0,7.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,128
1.0,10:40,1.0,10.0,LAC 25,0.0,7.0,Justin Herbert pass complete short left to Michael Bandy for 1 yard,0.61,0.2,9.0,2022,128
1.0,10:07,2.0,9.0,LAC 26,0.0,7.0,Justin Herbert pass complete short left to Josh Palmer for 7 yards (tackle by Cornell Armstrong and Jaylinn Hawkins),0.2,0.43,9.0,2022,128
1.0,9:29,3.0,2.0,LAC 33,0.0,7.0,Justin Herbert pass incomplete short right intended for Michael Bandy (defended by Rashaan Evans),0.43,-1.18,9.0,2022,128
1.0,9:24,4.0,2.0,LAC 33,0.0,7.0,JK Scott punts 48 yards out of bounds,-1.18,-0.15,9.0,2022,128
1.0,9:14,1.0,10.0,ATL 19,0.0,7.0,Caleb Huntley left end for 5 yards (tackle by Austin Johnson),0.15,0.34,9.0,2022,128
1.0,8:39,2.0,5.0,ATL 24,0.0,7.0,Marcus Mariota pass complete short left to Kyle Pitts for 18 yards (tackle by Michael Davis),0.34,1.73,9.0,2022,128
1.0,7:56,1.0,10.0,ATL 42,0.0,7.0,Marcus Mariota scrambles up the middle for 5 yards (tackle by Drue Tranquill),1.73,1.86,9.0,2022,128
1.0,7:12,2.0,5.0,ATL 47,0.0,7.0,Tyler Allgeier left tackle for 6 yards (tackle by Otito Ogbonnia),1.86,2.46,9.0,2022,128
1.0,6:32,1.0,10.0,LAC 47,0.0,7.0,Marcus Mariota pass complete short middle to Drake London for 12 yards (tackle by Derwin James),2.46,3.25,9.0,2022,128
