Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Patriots to receive the opening kickoff.",,,9.0,2022,131
1.0,15:00,,,IND 35,0.0,0.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,131
1.0,15:00,1.0,10.0,NWE 25,0.0,0.0,Rhamondre Stevenson left tackle for -2 yards (tackle by DeForest Buckner),0.61,-0.21,9.0,2022,131
1.0,14:32,2.0,12.0,NWE 23,0.0,0.0,Mac Jones pass incomplete short right intended for Rhamondre Stevenson,-0.21,-0.89,9.0,2022,131
1.0,14:27,3.0,12.0,NWE 23,0.0,0.0,Mac Jones pass incomplete short middle intended for Kendrick Bourne,-0.89,-1.83,9.0,2022,131
1.0,14:24,4.0,12.0,NWE 23,0.0,0.0,"Jake Bailey punts 58 yards, returned by Keke Coutee for 12 yards (tackle by Ja'Whaun Bentley)",-1.83,-1.0,9.0,2022,131
1.0,14:11,1.0,10.0,IND 31,0.0,0.0,Sam Ehlinger sacked by Matt Judon for -3 yards,1.0,0.06,9.0,2022,131
1.0,13:31,2.0,13.0,IND 28,0.0,0.0,Phillip Lindsay left end for 2 yards (tackle by Jalen Mills),0.06,-0.36,9.0,2022,131
1.0,12:50,3.0,11.0,IND 30,0.0,0.0,"Sam Ehlinger sacked by Matt Judon for no gain. Penalty on Daniel Ekuale: Roughing the Passer, 15 yards (accepted) (no play)",-0.36,1.93,9.0,2022,131
1.0,12:25,1.0,10.0,IND 45,0.0,0.0,Sam Ehlinger pass incomplete deep right intended for Jelani Woods,1.93,1.38,9.0,2022,131
1.0,12:19,2.0,10.0,IND 45,0.0,0.0,Deon Jackson right guard for 5 yards (tackle by Lawrence Guy and Ja'Whaun Bentley),1.38,1.36,9.0,2022,131
1.0,11:36,3.0,5.0,IND 50,0.0,0.0,Sam Ehlinger pass incomplete short left intended for Alec Pierce (defended by Jalen Mills),1.36,-0.06,9.0,2022,131
1.0,11:32,4.0,5.0,IND 50,0.0,0.0,Matt Haack punts 41 yards out of bounds,-0.06,0.38,9.0,2022,131
1.0,11:24,1.0,10.0,NWE 9,0.0,0.0,Rhamondre Stevenson up the middle for -5 yards (tackle by Bobby Okereke),-0.38,-1.15,9.0,2022,131
1.0,10:47,2.0,15.0,NWE 4,0.0,0.0,"Rhamondre Stevenson up the middle for 5 yards (tackle by Kwity Paye). Penalty on Cole Strange: Illegal Use of Hands / Offense, 5 yards (declined)",-1.15,-1.42,9.0,2022,131
1.0,10:16,3.0,10.0,NWE 9,0.0,0.0,Mac Jones sacked by and DeForest Buckner for -3 yards and Yannick Ngakoue for -3 yards,-1.42,-2.49,9.0,2022,131
