Unnamed: 0,LAR,TAM,week,year,game_id
First Downs,9,18,9.0,2022,134
Rush-Yds-TDs,24-68-0,20-51-0,9.0,2022,134
Cmp-Att-Yd-TD-INT,13-27-165-1-0,36-58-280-1-0,9.0,2022,134
Sacked-Yards,4-27,1-8,9.0,2022,134
Net Pass Yards,138,272,9.0,2022,134
Total Yards,206,323,9.0,2022,134
Fumbles-Lost,3-0,0-0,9.0,2022,134
Turnovers,0,0,9.0,2022,134
Penalties-Yards,4-53,7-55,9.0,2022,134
Third Down Conv.,4-15,9-21,9.0,2022,134
Fourth Down Conv.,0-0,0-2,9.0,2022,134
Time of Possession,28:44,31:16,9.0,2022,134
