Quarter,Time,Down,ToGo,Location,MIN,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Vikings to receive the opening kickoff.",,,9.0,2022,127
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 56 yards, returned by Kene Nwangwu for 13 yards (tackle by Jeremy Reaves)",0.0,0.41,9.0,2022,127
1.0,14:56,1.0,10.0,MIN 22,0.0,0.0,Dalvin Cook right tackle for -1 yards (tackle by Kendall Fuller),0.41,-0.27,9.0,2022,127
1.0,14:19,2.0,11.0,MIN 21,0.0,0.0,Kirk Cousins pass complete short middle to Justin Jefferson for 6 yards (tackle by Jamin Davis),-0.27,-0.16,9.0,2022,127
1.0,13:43,3.0,5.0,MIN 27,0.0,0.0,Kirk Cousins pass complete deep middle to T.J. Hockenson for 19 yards (tackle by Bobby McCain),-0.16,1.99,9.0,2022,127
1.0,13:00,1.0,10.0,MIN 46,0.0,0.0,Dalvin Cook right end for 4 yards (tackle by Casey Toohill and Bobby McCain),1.99,1.99,9.0,2022,127
1.0,12:16,2.0,6.0,MIN 50,0.0,0.0,Dalvin Cook right tackle for 5 yards (tackle by Kamren Curl),1.99,1.95,9.0,2022,127
1.0,11:33,3.0,1.0,WAS 45,0.0,0.0,Kirk Cousins pass complete deep right to Justin Jefferson for 17 yards (tackle by Benjamin St-Juste),1.95,3.71,9.0,2022,127
1.0,10:54,1.0,10.0,WAS 28,0.0,0.0,Kirk Cousins pass complete short middle to Justin Jefferson for 16 yards (tackle by Darrick Forrest),3.71,4.78,9.0,2022,127
1.0,10:09,1.0,10.0,WAS 12,0.0,0.0,Dalvin Cook right guard for 3 yards (tackle by Daron Payne and Danny Johnson),4.78,4.64,9.0,2022,127
1.0,9:23,2.0,7.0,WAS 9,6.0,0.0,"Kirk Cousins pass complete short right to Justin Jefferson for 9 yards, touchdown",4.64,7.0,9.0,2022,127
1.0,9:17,,,WAS 15,7.0,0.0,Greg Joseph kicks extra point good,0.0,0.0,9.0,2022,127
1.0,9:17,,,MIN 35,7.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,127
1.0,9:17,1.0,10.0,WAS 25,7.0,0.0,Brian Robinson left tackle for 1 yard (tackle by James Lynch),0.61,0.2,9.0,2022,127
1.0,8:46,2.0,9.0,WAS 26,7.0,0.0,Taylor Heinicke pass complete short left to Cam Sims for 12 yards (tackle by Cameron Dantzler),0.2,1.47,9.0,2022,127
1.0,8:16,1.0,10.0,WAS 38,7.0,0.0,Brian Robinson left guard for 4 yards (tackle by Za'Darius Smith),1.47,1.46,9.0,2022,127
