Quarter,Time,Down,ToGo,Location,SEA,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,9.0,2022,133
1.0,15:00,,,ARI 35,0.0,0.0,"Matt Prater kicks off 59 yards, returned by D'Wayne Eskridge for 29 yards (tackle by Antonio Hamilton)",0.0,1.27,9.0,2022,133
1.0,14:54,1.0,10.0,SEA 35,0.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 3 yards (tackle by Tanner Vallejo),1.27,1.13,9.0,2022,133
1.0,14:22,2.0,7.0,SEA 38,0.0,0.0,Kenneth Walker right tackle for -3 yards (tackle by Markus Golden and Isaiah Simmons),1.13,0.04,9.0,2022,133
1.0,13:36,3.0,10.0,SEA 35,0.0,0.0,Geno Smith pass complete short right to Noah Fant for 16 yards (tackle by Isaiah Simmons),0.04,2.32,9.0,2022,133
1.0,13:03,1.0,10.0,ARI 49,0.0,0.0,"Geno Smith pass incomplete. Penalty on Markus Golden: Defensive Offside, 5 yards (accepted) (no play)",2.32,3.05,9.0,2022,133
1.0,12:53,1.0,5.0,ARI 44,0.0,0.0,Geno Smith pass complete short right to D.K. Metcalf for 9 yards (tackle by Byron Murphy and Budda Baker),3.05,3.25,9.0,2022,133
1.0,12:20,1.0,10.0,ARI 35,0.0,0.0,DeeJay Dallas up the middle for 4 yards (tackle by Jalen Thompson),3.25,3.24,9.0,2022,133
1.0,11:42,2.0,6.0,ARI 31,0.0,0.0,Kenneth Walker right end for no gain (tackle by Marco Wilson),3.24,2.54,9.0,2022,133
1.0,11:01,3.0,6.0,ARI 31,0.0,0.0,Geno Smith pass incomplete short left intended for D'Wayne Eskridge (defended by Jalen Thompson),2.54,1.34,9.0,2022,133
1.0,10:55,4.0,6.0,ARI 31,3.0,0.0,Jason Myers 49 yard field goal good,1.34,3.0,9.0,2022,133
1.0,10:50,,,SEA 35,3.0,0.0,"Jason Myers kicks off 61 yards, returned by Greg Dortch for 13 yards (tackle by Cullen Gillaspia and DeeJay Dallas)",0.0,-0.06,9.0,2022,133
1.0,10:46,1.0,10.0,ARI 17,3.0,0.0,Kyler Murray pass complete short right to Rondale Moore for 5 yards (tackle by Jordyn Brooks),-0.06,0.21,9.0,2022,133
1.0,10:25,2.0,5.0,ARI 22,3.0,0.0,Kyler Murray right tackle for no gain (tackle by Ryan Neal),0.21,-0.62,9.0,2022,133
