Unnamed: 0,LAC,ATL,week,year,game_id
First Downs,19,19,9.0,2022,128
Rush-Yds-TDs,24-91-1,35-201-2,9.0,2022,128
Cmp-Att-Yd-TD-INT,30-43-245-1-1,12-23-129-0-0,9.0,2022,128
Sacked-Yards,0-0,2-15,9.0,2022,128
Net Pass Yards,245,114,9.0,2022,128
Total Yards,336,315,9.0,2022,128
Fumbles-Lost,1-1,2-2,9.0,2022,128
Turnovers,2,2,9.0,2022,128
Penalties-Yards,5-45,2-15,9.0,2022,128
Third Down Conv.,8-16,5-11,9.0,2022,128
Fourth Down Conv.,1-1,0-0,9.0,2022,128
Time of Possession,28:11,31:49,9.0,2022,128
