Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Deon Jackson,IND,11,23,0,1.0,18,1.6,5,0.5,0,,9.0,2022,131
Sam Ehlinger,IND,5,39,0,2.0,38,7.6,1,0.2,0,,9.0,2022,131
Jordan Wilkins,IND,3,13,0,1.0,10,3.3,3,1.0,0,,9.0,2022,131
Parris Campbell,IND,1,1,0,0.0,1,1.0,0,0.0,0,,9.0,2022,131
Kylen Granson,IND,1,0,0,,0,0.0,0,0.0,0,,9.0,2022,131
Phillip Lindsay,IND,1,2,0,,1,1.0,1,1.0,0,,9.0,2022,131
Rhamondre Stevenson,NWE,15,60,0,4.0,39,2.6,21,1.4,2,7.5,9.0,2022,131
J.J. Taylor,NWE,10,9,0,,4,0.4,5,0.5,1,10.0,9.0,2022,131
Kendrick Bourne,NWE,1,1,0,,1,1.0,0,0.0,0,,9.0,2022,131
Mac Jones,NWE,1,-2,0,0.0,-2,-2.0,0,0.0,0,,9.0,2022,131
Jakobi Meyers,NWE,1,2,0,1.0,1,1.0,1,1.0,0,,9.0,2022,131
