Quarter,Time,Down,ToGo,Location,LVR,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Raiders to receive the opening kickoff.",,,9.0,2022,132
1.0,15:00,,,JAX 35,0.0,0.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,132
1.0,15:00,1.0,10.0,LVR 25,0.0,0.0,Derek Carr pass incomplete deep right intended for Foster Moreau,0.61,0.06,9.0,2022,132
1.0,14:55,2.0,10.0,LVR 25,0.0,0.0,Derek Carr pass complete short right to Josh Jacobs for 4 yards (tackle by Darious Williams and Foyesade Oluokun),0.06,-0.1,9.0,2022,132
1.0,14:19,3.0,6.0,LVR 29,0.0,0.0,Derek Carr sacked by Dawuane Smoot for -4 yards,-0.1,-1.7,9.0,2022,132
1.0,13:43,4.0,10.0,LVR 25,0.0,0.0,"AJ Cole punts 58 yards, returned by Jamal Agnew for 13 yards (tackle by Jakob Johnson)",-1.7,-0.94,9.0,2022,132
1.0,13:31,1.0,10.0,JAX 30,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Chris Manhertz,0.94,0.39,9.0,2022,132
1.0,13:26,2.0,10.0,JAX 30,0.0,0.0,Travis Etienne left end for 7 yards (tackle by Divine Deablo and Denzel Perryman),0.39,0.63,9.0,2022,132
1.0,12:47,3.0,3.0,JAX 37,0.0,0.0,Trevor Lawrence pass complete short right to Marvin Jones for 9 yards (tackle by Rock Ya-Sin),0.63,1.99,9.0,2022,132
1.0,12:07,1.0,10.0,JAX 46,0.0,0.0,Trevor Lawrence pass complete short right to Christian Kirk for 23 yards (tackle by Blake Martinez),1.99,3.51,9.0,2022,132
1.0,11:34,1.0,10.0,LVR 31,0.0,0.0,Travis Etienne left end for 2 yards (tackle by Johnathan Abram and Bilal Nichols),3.51,3.24,9.0,2022,132
1.0,11:00,2.0,8.0,LVR 29,0.0,0.0,Travis Etienne left end for 3 yards (tackle by Chandler Jones),3.24,2.94,9.0,2022,132
1.0,10:22,3.0,5.0,LVR 26,0.0,0.0,"Trevor Lawrence aborted snap, recovered by Maxx Crosby at LV-29 and returned for -3 yards",2.94,-0.87,9.0,2022,132
1.0,10:13,1.0,10.0,LVR 29,0.0,0.0,Josh Jacobs up the middle for -3 yards (tackle by Roy Robertson-Harris),0.87,-0.08,9.0,2022,132
1.0,9:46,2.0,13.0,LVR 26,0.0,0.0,Derek Carr pass complete short left to Davante Adams for 4 yards (tackle by Foyesade Oluokun),-0.08,-0.23,9.0,2022,132
1.0,9:12,3.0,9.0,LVR 30,0.0,0.0,Derek Carr pass complete short middle to Davante Adams for 11 yards (tackle by Devin Lloyd),-0.23,1.66,9.0,2022,132
1.0,8:42,1.0,10.0,LVR 41,0.0,0.0,"Derek Carr pass complete to Hunter Renfrow for no gain (tackle by Rayshawn Jenkins). Penalty on Foster Moreau: Offensive Holding, 10 yards (accepted) (no play)",1.66,1.0,9.0,2022,132
1.0,8:16,1.0,20.0,LVR 31,0.0,0.0,Derek Carr pass complete deep middle to Davante Adams for 21 yards (tackle by Andre Cisco),1.0,2.39,9.0,2022,132
1.0,7:43,1.0,10.0,JAX 48,0.0,0.0,"Josh Jacobs for no gain (tackle by Andre Cisco). Penalty on Mack Hollins: Offensive Holding, 10 yards (accepted) (no play)",2.39,1.73,9.0,2022,132
1.0,7:17,1.0,20.0,LVR 42,0.0,0.0,Derek Carr pass incomplete deep left intended for Mack Hollins,1.73,0.5,9.0,2022,132
1.0,7:10,2.0,20.0,LVR 42,0.0,0.0,Derek Carr pass incomplete short right intended for Foster Moreau (defended by Devin Lloyd),0.5,-0.16,9.0,2022,132
1.0,7:06,3.0,20.0,LVR 42,0.0,0.0,Derek Carr pass complete short right to Davante Adams for 16 yards (tackle by Darious Williams),-0.16,0.46,9.0,2022,132
1.0,6:23,4.0,4.0,JAX 42,0.0,0.0,Derek Carr pass complete short middle to Davante Adams for 11 yards (tackle by Rayshawn Jenkins),0.46,3.51,9.0,2022,132
1.0,5:35,,,,,,Timeout #1 by Las Vegas Raiders,,,9.0,2022,132
1.0,5:35,1.0,10.0,JAX 31,0.0,0.0,Josh Jacobs left end for 6 yards (tackle by Tyson Campbell and Andre Cisco),3.51,3.78,9.0,2022,132
1.0,4:51,2.0,4.0,JAX 25,6.0,0.0,"Derek Carr pass complete deep left to Davante Adams for 25 yards, touchdown",3.78,7.0,9.0,2022,132
1.0,4:45,,,JAX 15,7.0,0.0,Daniel Carlson kicks extra point good,0.0,0.0,9.0,2022,132
1.0,4:45,,,LVR 35,7.0,0.0,"Penalty on Tyson Campbell: Defensive Offside, 5 yards (accepted) (no play)",0.0,0.0,9.0,2022,132
1.0,4:45,,,LVR 40,7.0,0.0,"Daniel Carlson kicks off 62 yards, returned by Jamal Agnew for 10 yards (tackle by DJ Turner)",0.0,-0.38,9.0,2022,132
1.0,4:40,1.0,10.0,JAX 8,7.0,0.0,Trevor Lawrence pass incomplete short right,-0.38,-0.78,9.0,2022,132
1.0,4:35,2.0,10.0,JAX 8,7.0,0.0,Trevor Lawrence right guard for 9 yards (tackle by Denzel Perryman),-0.78,-0.37,9.0,2022,132
1.0,3:53,3.0,1.0,JAX 17,7.0,0.0,Travis Etienne right end for -5 yards (tackle by Maxx Crosby),-0.37,-2.49,9.0,2022,132
1.0,3:18,4.0,6.0,JAX 12,7.0,0.0,"Logan Cooke punts 60 yards, returned by Hunter Renfrow for 17 yards (tackle by Caleb Johnson)",-2.49,-1.93,9.0,2022,132
1.0,3:04,1.0,10.0,LVR 45,7.0,0.0,Derek Carr pass complete short left to Hunter Renfrow for 14 yards,1.93,2.85,9.0,2022,132
1.0,2:30,1.0,10.0,JAX 41,7.0,0.0,Josh Jacobs up the middle for -2 yards (tackle by Rayshawn Jenkins),2.85,2.04,9.0,2022,132
1.0,1:49,2.0,12.0,JAX 43,7.0,0.0,Derek Carr pass complete short middle to Hunter Renfrow for 4 yards (tackle by Foyesade Oluokun),2.04,1.88,9.0,2022,132
1.0,1:07,3.0,8.0,JAX 39,7.0,0.0,Derek Carr pass complete short middle to Mack Hollins for 13 yards (tackle by Andre Cisco),1.88,3.84,9.0,2022,132
1.0,0:27,1.0,10.0,JAX 26,7.0,0.0,Josh Jacobs up the middle for -1 yards (tackle by Corey Peters),3.84,3.16,9.0,2022,132
2.0,15:00,2.0,11.0,JAX 27,7.0,0.0,Derek Carr pass incomplete short middle intended for Foster Moreau (defended by Tre Herndon),3.16,2.48,9.0,2022,132
2.0,14:56,3.0,11.0,JAX 27,7.0,0.0,Derek Carr pass complete short left to Ameer Abdullah for 8 yards (tackle by Foyesade Oluokun),2.48,2.28,9.0,2022,132
2.0,14:12,4.0,3.0,JAX 19,10.0,0.0,Daniel Carlson 38 yard field goal good,2.28,3.0,9.0,2022,132
2.0,14:08,,,LVR 35,10.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,132
2.0,14:08,1.0,10.0,JAX 25,10.0,0.0,Trevor Lawrence pass complete short right to Marvin Jones for 6 yards (tackle by Rock Ya-Sin),0.61,0.87,9.0,2022,132
2.0,13:27,2.0,4.0,JAX 31,10.0,0.0,Travis Etienne up the middle for no gain (tackle by Duron Harmon),0.87,0.17,9.0,2022,132
2.0,12:50,3.0,4.0,JAX 31,10.0,0.0,Trevor Lawrence pass incomplete short right intended for Evan Engram,0.17,-1.31,9.0,2022,132
2.0,12:45,4.0,4.0,JAX 31,10.0,0.0,"Logan Cooke punts 53 yards, returned by Hunter Renfrow for 5 yards (tackle by Chad Muma). Penalty on Caleb Johnson: Offensive Holding, 10 yards (accepted)",-1.31,-1.0,9.0,2022,132
2.0,12:33,1.0,10.0,LVR 31,10.0,0.0,Josh Jacobs left guard for 1 yard (tackle by Josh Allen),1.0,0.6,9.0,2022,132
2.0,11:57,2.0,9.0,LVR 32,10.0,0.0,Derek Carr pass complete short right to Foster Moreau for 30 yards (tackle by Travon Walker),0.6,3.05,9.0,2022,132
