Unnamed: 0,CAR,CIN,week,year,game_id
First Downs,13,30,9.0,2022,129
Rush-Yds-TDs,18-64-1,39-241-5,9.0,2022,129
Cmp-Att-Yd-TD-INT,17-30-164-2-2,25-31-228-1-0,9.0,2022,129
Sacked-Yards,0-0,2-5,9.0,2022,129
Net Pass Yards,164,223,9.0,2022,129
Total Yards,228,464,9.0,2022,129
Fumbles-Lost,1-1,1-0,9.0,2022,129
Turnovers,3,0,9.0,2022,129
Penalties-Yards,7-50,5-35,9.0,2022,129
Third Down Conv.,2-8,6-10,9.0,2022,129
Fourth Down Conv.,1-1,0-0,9.0,2022,129
Time of Possession,20:39,39:21,9.0,2022,129
