Quarter,Time,Down,ToGo,Location,TEN,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,9.0,2022,135
1,15:00,,,TEN 35,0.0,0.0,"Randy Bullock kicks off 65 yards, returned by Isiah Pacheco for 26 yards (tackle by Dylan Cole and Cody Hollister)",0.0,0.67,9.0,2022,135
1,14:55,1.0,10.0,KAN 26,0.0,0.0,Patrick Mahomes pass complete short right to Kadarius Toney for 2 yards (tackle by Joshua Kalu and Roger McCreary),0.67,0.4,9.0,2022,135
1,14:22,2.0,8.0,KAN 28,0.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 8 yards (tackle by David Long and Joshua Kalu),0.4,1.33,9.0,2022,135
1,13:42,1.0,10.0,KAN 36,0.0,0.0,Patrick Mahomes pass complete short right to Justin Watson for 6 yards,1.33,1.6,9.0,2022,135
1,13:15,2.0,4.0,KAN 42,0.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by Kevin Byard),1.6,2.39,9.0,2022,135
1,12:41,1.0,10.0,TEN 48,0.0,0.0,Isiah Pacheco up the middle for 2 yards (tackle by Dylan Cole and David Long),2.39,2.12,9.0,2022,135
1,12:08,2.0,8.0,TEN 46,0.0,0.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 12 yards (tackle by Andrew Adams),2.12,3.31,9.0,2022,135
1,11:32,1.0,10.0,TEN 34,0.0,0.0,"Isiah Pacheco left guard for no gain. Penalty on Trey Smith: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",3.31,2.65,9.0,2022,135
1,11:09,1.0,20.0,TEN 44,0.0,0.0,Patrick Mahomes pass incomplete short left intended for Clyde Edwards-Helaire,2.65,1.42,9.0,2022,135
1,11:05,2.0,20.0,TEN 44,0.0,0.0,"Patrick Mahomes pass deep right is intercepted by Kevin Byard at TEN-12 and returned for no gain. Penalty on Rashad Weaver: Defensive Offside, 5 yards (accepted) (no play)",1.42,2.09,9.0,2022,135
1,10:43,2.0,15.0,TEN 39,0.0,0.0,Patrick Mahomes scrambles left guard for 16 yards (tackle by Andrew Adams),2.09,4.04,9.0,2022,135
1,10:04,1.0,10.0,TEN 23,0.0,0.0,Clyde Edwards-Helaire left guard for no gain (tackle by Zach Cunningham and Bud Dupree),4.04,3.5,9.0,2022,135
1,9:29,2.0,10.0,TEN 23,0.0,0.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 4 yards (tackle by Zach Cunningham),3.5,3.34,9.0,2022,135
1,8:49,3.0,6.0,TEN 19,0.0,0.0,Patrick Mahomes pass complete short right to Mecole Hardman for 11 yards (tackle by Terrance Mitchell),3.34,5.37,9.0,2022,135
1,8:11,1.0,8.0,TEN 8,0.0,0.0,Patrick Mahomes pass incomplete short left,5.37,4.57,9.0,2022,135
1,8:02,2.0,8.0,TEN 8,0.0,0.0,"Mecole Hardman left end for no gain. Penalty on Noah Gray: Offensive Holding, 10 yards (accepted) (no play)",4.57,3.15,9.0,2022,135
1,7:36,2.0,18.0,TEN 18,0.0,0.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,3.15,2.63,9.0,2022,135
1,7:31,3.0,18.0,TEN 18,0.0,0.0,Patrick Mahomes pass complete short middle to Mecole Hardman for 13 yards (tackle by Terrance Mitchell),2.63,3.01,9.0,2022,135
1,6:50,4.0,5.0,TEN 5,0.0,3.0,Harrison Butker 23 yard field goal good,3.01,3.0,9.0,2022,135
1,6:47,,,KAN 35,0.0,3.0,"Harrison Butker kicks off 62 yards, returned by Hassan Haskins for 15 yards (tackle by Deon Bush and Chris Lammons)",0.0,0.04,9.0,2022,135
1,6:40,1.0,10.0,TEN 18,0.0,3.0,Malik Willis pass complete short right to Chigoziem Okonkwo for 48 yards (tackle by Justin Reid),0.04,3.31,9.0,2022,135
1,5:48,1.0,10.0,KAN 34,0.0,3.0,"Penalty on Chigoziem Okonkwo: False Start, 5 yards (accepted) (no play)",3.31,2.98,9.0,2022,135
1,5:26,1.0,15.0,KAN 39,0.0,3.0,Derrick Henry left guard for no gain (tackle by Nick Bolton and Derrick Nnadi),2.98,2.09,9.0,2022,135
1,4:49,2.0,15.0,KAN 39,0.0,3.0,Malik Willis pass incomplete deep right intended for Robert Woods,2.09,1.42,9.0,2022,135
1,4:44,3.0,15.0,KAN 39,0.0,3.0,Malik Willis pass incomplete deep right,1.42,0.66,9.0,2022,135
1,4:35,4.0,15.0,KAN 39,0.0,3.0,"Ryan Stonehouse punts 35 yards, returned by Justin Watson for 17 yards (tackle by Hassan Haskins)",0.66,-0.34,9.0,2022,135
1,4:25,1.0,10.0,KAN 21,0.0,3.0,Patrick Mahomes pass complete short right to Travis Kelce for 23 yards (tackle by Roger McCreary),0.34,1.86,9.0,2022,135
1,3:50,1.0,10.0,KAN 44,0.0,3.0,Isiah Pacheco left end for no gain (tackle by Joshua Kalu),1.86,1.32,9.0,2022,135
1,3:16,2.0,10.0,KAN 44,0.0,3.0,Patrick Mahomes scrambles right end for 3 yards (tackle by Kevin Byard),1.32,1.03,9.0,2022,135
1,2:40,3.0,7.0,KAN 47,0.0,3.0,Patrick Mahomes pass complete deep left to Justin Watson for 31 yards (tackle by Kristian Fulton),1.03,4.11,9.0,2022,135
1,2:13,1.0,10.0,TEN 22,0.0,3.0,Patrick Mahomes pass incomplete short middle intended for Jerick McKinnon,4.11,3.56,9.0,2022,135
1,2:08,2.0,10.0,TEN 22,0.0,3.0,Patrick Mahomes pass complete short middle to Kadarius Toney for 10 yards (tackle by Kevin Byard),3.56,4.78,9.0,2022,135
1,1:28,1.0,10.0,TEN 12,0.0,3.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 9 yards (tackle by Kevin Byard and Joshua Kalu),4.78,5.79,9.0,2022,135
1,0:48,2.0,1.0,TEN 3,0.0,3.0,Clyde Edwards-Helaire right end for no gain (tackle by Roger McCreary and Jeffery Simmons),5.79,5.06,9.0,2022,135
2,15:00,3.0,1.0,TEN 3,0.0,3.0,"Penalty on Joe Thuney: False Start, 4 yards (accepted) (no play)",5.06,4.16,9.0,2022,135
2,15:00,3.0,5.0,TEN 7,0.0,9.0,"Patrick Mahomes pass complete short right to Mecole Hardman for 7 yards, touchdown",4.16,7.0,9.0,2022,135
2,14:55,,,TEN 15,0.0,9.0,Harrison Butker kicks extra point no good,0.0,-1.0,9.0,2022,135
