Unnamed: 0,GNB,DET,week,year,game_id
First Downs,19,19,9.0,2022,126
Rush-Yds-TDs,25-106-0,31-117-0,9.0,2022,126
Cmp-Att-Yd-TD-INT,23-43-291-1-3,14-26-137-2-1,9.0,2022,126
Sacked-Yards,1-8,0-0,9.0,2022,126
Net Pass Yards,283,137,9.0,2022,126
Total Yards,389,254,9.0,2022,126
Fumbles-Lost,2-0,0-0,9.0,2022,126
Turnovers,3,1,9.0,2022,126
Penalties-Yards,8-81,7-62,9.0,2022,126
Third Down Conv.,8-15,6-11,9.0,2022,126
Fourth Down Conv.,1-4,0-2,9.0,2022,126
Time of Possession,34:42,25:18,9.0,2022,126
