Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Baker Mayfield,LAR,0,0,0,0,0,18.0,2022,270
Cam Akers,LAR,3,3,24,0,13,18.0,2022,270
Brandon Powell,LAR,3,1,2,0,2,18.0,2022,270
Tutu Atwell,LAR,3,2,27,0,21,18.0,2022,270
Van Jefferson,LAR,7,3,61,0,35,18.0,2022,270
Tyler Higbee,LAR,7,4,33,0,17,18.0,2022,270
Brycen Hopkins,LAR,1,0,0,0,0,18.0,2022,270
Geno Smith,SEA,0,0,0,0,0,18.0,2022,270
Kenneth Walker III,SEA,1,1,10,0,10,18.0,2022,270
DeeJay Dallas,SEA,1,1,-3,0,-3,18.0,2022,270
Nick Bellore,SEA,0,0,0,0,0,18.0,2022,270
Tyler Lockett,SEA,7,4,54,1,36,18.0,2022,270
Colby Parkinson,SEA,3,2,47,0,32,18.0,2022,270
D.K. Metcalf,SEA,8,3,40,0,23,18.0,2022,270
Dareke Young,SEA,2,2,24,0,12,18.0,2022,270
Cade Johnson,SEA,2,2,21,0,11,18.0,2022,270
Noah Fant,SEA,4,4,20,0,8,18.0,2022,270
