Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Joshua Dobbs,TEN,0,0,0,0,0,18.0,2022,257
Derrick Henry,TEN,1,1,19,0,19,18.0,2022,257
Racey McMath,TEN,0,0,0,0,0,18.0,2022,257
Hassan Haskins,TEN,2,2,13,0,9,18.0,2022,257
Chigoziem Okonkwo,TEN,4,3,42,1,21,18.0,2022,257
Robert Woods,TEN,5,4,40,0,13,18.0,2022,257
Austin Hooper,TEN,4,4,38,0,14,18.0,2022,257
Treylon Burks,TEN,7,4,19,0,9,18.0,2022,257
Geoff Swaim,TEN,1,1,5,0,5,18.0,2022,257
Nick Westbrook-Ikhine,TEN,1,0,0,0,0,18.0,2022,257
Jonathan Ward,TEN,2,1,3,0,3,18.0,2022,257
Trevor Lawrence,JAX,0,0,0,0,0,18.0,2022,257
Travis Etienne,JAX,2,2,17,0,9,18.0,2022,257
Jamycal Hasty,JAX,1,0,0,0,0,18.0,2022,257
Christian Kirk,JAX,8,6,99,1,33,18.0,2022,257
Marvin Jones,JAX,6,2,29,0,21,18.0,2022,257
Evan Engram,JAX,4,4,27,0,10,18.0,2022,257
Zay Jones,JAX,6,4,21,0,8,18.0,2022,257
Luke Farrell,JAX,1,1,11,0,11,18.0,2022,257
Jamal Agnew,JAX,1,1,8,0,8,18.0,2022,257
