Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Chase Brown,CIN,10,53,1,1.0,49,4.9,4,0.4,1,10.0,6.0,2024,91
Zack Moss,CIN,6,13,0,,10,1.7,3,0.5,0,,6.0,2024,91
Joe Burrow,CIN,4,55,1,2.0,55,13.8,0,0.0,0,,6.0,2024,91
Tyrone Tracy Jr.,NYG,17,50,1,5.0,24,1.4,26,1.5,1,17.0,6.0,2024,91
Daniel Jones,NYG,11,56,0,6.0,52,4.7,4,0.4,0,,6.0,2024,91
Eric Gray,NYG,3,13,0,,7,2.3,6,2.0,0,,6.0,2024,91
