Unnamed: 0,ATL,CAR,week,year,game_id
First Downs,25,21,6.0,2024,89
Rush-Yds-TDs,38-198-3,24-114-0,6.0,2024,89
Cmp-Att-Yd-TD-INT,19-30-225-1-0,26-38-221-2-2,6.0,2024,89
Sacked-Yards,0-0,0-0,6.0,2024,89
Net Pass Yards,225,221,6.0,2024,89
Total Yards,423,335,6.0,2024,89
Fumbles-Lost,1-1,2-0,6.0,2024,89
Turnovers,1,2,6.0,2024,89
Penalties-Yards,5-45,10-74,6.0,2024,89
Third Down Conv.,6-12,5-11,6.0,2024,89
Fourth Down Conv.,0-0,0-1,6.0,2024,89
Time of Possession,30:40,29:20,6.0,2024,89
