Unnamed: 0,JAX,CHI,week,year,game_id
First Downs,17,25,6.0,2024,80
Rush-Yds-TDs,20-68-0,29-152-1,6.0,2024,80
Cmp-Att-Yd-TD-INT,24-36-240-2-1,23-29-226-4-1,6.0,2024,80
Sacked-Yards,4-30,3-5,6.0,2024,80
Net Pass Yards,210,221,6.0,2024,80
Total Yards,278,373,6.0,2024,80
Fumbles-Lost,2-1,1-0,6.0,2024,80
Turnovers,2,1,6.0,2024,80
Penalties-Yards,8-43,2-10,6.0,2024,80
Third Down Conv.,7-15,5-11,6.0,2024,80
Fourth Down Conv.,2-2,1-1,6.0,2024,80
Time of Possession,29:20,30:40,6.0,2024,80
