Quarter,Time,Down,ToGo,Location,ARI,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Packers to receive the opening kickoff.",,,6.0,2024,83
1.0,15:00,,,ARI 35,0.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,83
1.0,15:00,1.0,10.0,GNB 30,0.0,0.0,"Penalty on L.J. Collier: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.94,1.67,6.0,2024,83
1.0,15:00,1.0,5.0,GNB 35,0.0,0.0,Josh Jacobs left guard for 2 yards (tackle by Zaven Collins),1.67,1.34,6.0,2024,83
1.0,14:25,2.0,3.0,GNB 37,0.0,0.0,Jordan Love pass complete short left to Jayden Reed for 4 yards (tackle by Starling Thomas),1.34,1.66,6.0,2024,83
1.0,13:56,1.0,10.0,GNB 41,0.0,0.0,Jordan Love pass incomplete short left intended for Tucker Kraft (defended by Julian Okwara),1.66,1.12,6.0,2024,83
1.0,13:52,2.0,10.0,GNB 41,0.0,0.0,Josh Jacobs up the middle for 5 yards (tackle by Kyzir White and Roy Lopez),1.12,1.09,6.0,2024,83
1.0,13:10,3.0,5.0,GNB 46,0.0,0.0,Jordan Love pass incomplete deep right intended for Dontayvion Wicks,1.09,-0.32,6.0,2024,83
1.0,13:05,4.0,5.0,GNB 46,0.0,0.0,Daniel Whelan punts 46 yards out of bounds,-0.32,0.38,6.0,2024,83
1.0,12:58,1.0,10.0,ARI 8,0.0,0.0,James Conner left end for 2 yards (tackle by Keisean Nixon and Eric Wilson),-0.38,-0.63,6.0,2024,83
1.0,12:16,2.0,8.0,ARI 10,0.0,0.0,James Conner right end for -1 yards (tackle by Quay Walker),-0.63,-1.3,6.0,2024,83
1.0,11:42,3.0,9.0,ARI 9,0.0,0.0,Kyler Murray pass incomplete short right intended for Marvin Harrison,-1.3,-2.49,6.0,2024,83
1.0,11:40,4.0,9.0,ARI 9,0.0,0.0,"Blake Gillikin punts 58 yards, returned by Jayden Reed for 8 yards (tackle by Dennis Gardeck and Joey Blount). Penalty on Joey Blount: Face Mask (15 Yards), 15 yards (accepted)",-2.49,-2.65,6.0,2024,83
1.0,11:26,1.0,10.0,ARI 44,0.0,0.0,Josh Jacobs right end for 14 yards (tackle by Naquan Jones and Mack Wilson),2.65,3.58,6.0,2024,83
1.0,10:43,1.0,10.0,ARI 30,0.0,0.0,"Penalty on Zaven Collins: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.58,4.31,6.0,2024,83
1.0,10:29,1.0,5.0,ARI 25,0.0,0.0,Bo Melton left end for 16 yards (tackle by Budda Baker and Naquan Jones),4.31,5.14,6.0,2024,83
1.0,9:49,1.0,9.0,ARI 9,0.0,0.0,Josh Jacobs right tackle for 4 yards (tackle by Naquan Jones and Sean Murphy-Bunting),5.14,5.15,6.0,2024,83
1.0,9:04,2.0,5.0,ARI 5,0.0,0.0,Jordan Love pass incomplete short left intended for Dontayvion Wicks,5.15,4.26,6.0,2024,83
