Unnamed: 0,WAS,BAL,week,year,game_id
First Downs,18,28,6.0,2024,86
Rush-Yds-TDs,18-52-0,37-176-2,6.0,2024,86
Cmp-Att-Yd-TD-INT,24-35-269-2-0,20-26-323-1-1,6.0,2024,86
Sacked-Yards,3-16,2-15,6.0,2024,86
Net Pass Yards,253,308,6.0,2024,86
Total Yards,305,484,6.0,2024,86
Fumbles-Lost,0-0,1-0,6.0,2024,86
Turnovers,0,1,6.0,2024,86
Penalties-Yards,6-46,3-33,6.0,2024,86
Third Down Conv.,4-12,6-10,6.0,2024,86
Fourth Down Conv.,1-1,0-0,6.0,2024,86
Time of Possession,23:52,36:08,6.0,2024,86
