Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Jahmyr Gibbs,DET,12,63,0,5.0,50,4.2,13,1.1,0,,6.0,2024,90
David Montgomery,DET,12,80,2,5.0,46,3.8,34,2.8,2,6.0,6.0,2024,90
Craig Reynolds,DET,6,21,0,1.0,17,2.8,4,0.7,1,6.0,6.0,2024,90
Jared Goff,DET,3,5,0,0.0,4,1.3,1,0.3,0,,6.0,2024,90
Hendon Hooker,DET,1,-1,0,0.0,-1,-1.0,0,0.0,0,,6.0,2024,90
Sione Vaki,DET,1,5,0,,4,4.0,1,1.0,0,,6.0,2024,90
Jameson Williams,DET,1,11,0,1.0,8,8.0,3,3.0,0,,6.0,2024,90
Ezekiel Elliott,DAL,8,17,0,,7,0.9,10,1.3,0,,6.0,2024,90
Rico Dowdle,DAL,5,25,0,1.0,21,4.2,4,0.8,0,,6.0,2024,90
CeeDee Lamb,DAL,1,2,0,0.0,2,2.0,0,0.0,0,,6.0,2024,90
Dak Prescott,DAL,1,1,0,0.0,1,1.0,0,0.0,0,,6.0,2024,90
Cooper Rush,DAL,1,2,0,1.0,2,2.0,0,0.0,0,,6.0,2024,90
KaVontae Turpin,DAL,1,6,0,0.0,4,4.0,2,2.0,0,,6.0,2024,90
