Unnamed: 0,DET,DAL,week,year,game_id
First Downs,27,16,6.0,2024,90
Rush-Yds-TDs,36-184-2,17-53-0,6.0,2024,90
Cmp-Att-Yd-TD-INT,19-27-334-3-0,25-44-224-0-3,6.0,2024,90
Sacked-Yards,3-26,4-26,6.0,2024,90
Net Pass Yards,308,198,6.0,2024,90
Total Yards,492,251,6.0,2024,90
Fumbles-Lost,1-0,2-2,6.0,2024,90
Turnovers,0,5,6.0,2024,90
Penalties-Yards,8-63,4-30,6.0,2024,90
Third Down Conv.,4-10,3-13,6.0,2024,90
Fourth Down Conv.,1-2,1-4,6.0,2024,90
Time of Possession,34:43,25:17,6.0,2024,90
