Quarter,Time,Down,ToGo,Location,WAS,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Ravens to receive the opening kickoff.",,,6.0,2024,86
1.0,15:00,,,WAS 35,0.0,0.0,"Austin Seibert kicks off 65 yards, returned by Justice Hill for 34 yards (tackle by Jeremy Chinn and Darrick Forrest)",0.0,1.2,6.0,2024,86
1.0,14:53,1.0,10.0,BAL 34,0.0,0.0,Derrick Henry right end for 2 yards (tackle by Bobby Wagner and Benjamin St-Juste),1.2,0.93,6.0,2024,86
1.0,14:18,2.0,8.0,BAL 36,0.0,0.0,Lamar Jackson pass complete short left to Zay Flowers for 44 yards (tackle by Benjamin St-Juste),0.93,4.24,6.0,2024,86
1.0,13:41,1.0,10.0,WAS 20,0.0,0.0,Derrick Henry right tackle for no gain (tackle by Quan Martin),4.24,3.69,6.0,2024,86
1.0,12:56,2.0,10.0,WAS 20,0.0,0.0,Lamar Jackson pass short left intended for Mark Andrews is intercepted by Mike Sainristil at WAS-13 and returned for 38 yards (tackle by Lamar Jackson),3.69,-2.32,6.0,2024,86
1.0,12:47,1.0,10.0,BAL 49,0.0,0.0,Austin Ekeler left guard for 5 yards (tackle by Trenton Simpson and Roquan Smith),2.32,2.46,6.0,2024,86
1.0,12:23,2.0,5.0,BAL 44,0.0,0.0,Jayden Daniels pass complete short right to Noah Brown for 4 yards (tackle by Kyle Van Noy),2.46,2.28,6.0,2024,86
1.0,11:47,3.0,1.0,BAL 40,0.0,0.0,Jayden Daniels pass complete short right to Austin Ekeler for 24 yards (tackle by Marcus Williams),2.28,4.51,6.0,2024,86
1.0,11:18,1.0,10.0,BAL 16,0.0,0.0,Jayden Daniels right end for no gain (tackle by Marlon Humphrey),4.51,3.9,6.0,2024,86
1.0,10:42,2.0,10.0,BAL 16,0.0,0.0,Jayden Daniels pass complete short left to Olamide Zaccheaus for 3 yards (tackle by Marlon Humphrey),3.9,3.54,6.0,2024,86
1.0,9:58,3.0,7.0,BAL 13,0.0,0.0,Jayden Daniels sacked by Travis Jones for -11 yards,3.54,1.87,6.0,2024,86
1.0,9:14,4.0,18.0,BAL 24,3.0,0.0,Austin Seibert 42 yard field goal good,1.87,3.0,6.0,2024,86
1.0,9:11,,,WAS 35,3.0,0.0,"Austin Seibert kicks off 61 yards, returned by Deonte Harty for 26 yards (tackle by Jeremy Chinn)",0.0,0.94,6.0,2024,86
1.0,9:05,1.0,10.0,BAL 30,3.0,0.0,Derrick Henry up the middle for 5 yards (tackle by Jeremy Chinn and Jer'Zhan Newton),0.94,1.07,6.0,2024,86
1.0,8:35,2.0,5.0,BAL 35,3.0,0.0,Lamar Jackson scrambles right end for 4 yards (tackle by Bobby Wagner),1.07,0.89,6.0,2024,86
1.0,7:58,3.0,1.0,BAL 39,3.0,0.0,Lamar Jackson left end for 10 yards (tackle by Mike Sainristil),0.89,2.19,6.0,2024,86
1.0,7:23,1.0,10.0,BAL 49,3.0,0.0,Lamar Jackson pass complete short middle to Zay Flowers for 12 yards (tackle by Quan Martin),2.19,2.98,6.0,2024,86
1.0,6:41,1.0,10.0,WAS 39,3.0,0.0,Derrick Henry right guard for 4 yards (tackle by Bobby Wagner),2.98,2.98,6.0,2024,86
1.0,6:03,2.0,6.0,WAS 35,3.0,0.0,Lamar Jackson pass complete short right to Zay Flowers for 9 yards (tackle by Benjamin St-Juste),2.98,3.84,6.0,2024,86
1.0,5:24,1.0,10.0,WAS 26,3.0,0.0,Derrick Henry left end for 3 yards (tackle by Jonathan Allen),3.84,3.7,6.0,2024,86
1.0,4:43,2.0,7.0,WAS 23,3.0,0.0,Lamar Jackson pass incomplete deep right intended for Isaiah Likely,3.7,3.01,6.0,2024,86
1.0,4:31,3.0,7.0,WAS 23,3.0,0.0,"Tyler Linderbaum aborted snap, recovered by Lamar Jackson at WAS-23 Lamar Jackson for no gain",3.01,1.67,6.0,2024,86
1.0,3:50,4.0,11.0,WAS 27,3.0,3.0,Justin Tucker 45 yard field goal good,1.67,3.0,6.0,2024,86
1.0,3:45,,,BAL 35,3.0,3.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,86
1.0,3:45,1.0,10.0,WAS 30,3.0,3.0,Terry McLaurin right end for no gain (tackle by Kyle Hamilton and Eddie Jackson),0.94,0.39,6.0,2024,86
