Quarter,Time,Down,ToGo,Location,TAM,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,,6.0,2024,85
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 61 yards, returned by Bucky Irving for 22 yards (tackle by Anfernee Orji and Jaylan Ford)",0.0,0.67,6.0,2024,85
1.0,14:56,1.0,10.0,TAM 26,0.0,0.0,Baker Mayfield pass complete short middle to Mike Evans for 12 yards (tackle by Paulson Adebo),0.67,1.47,6.0,2024,85
1.0,14:18,1.0,10.0,TAM 38,0.0,0.0,"Penalty on Tristan Wirfs: False Start, 5 yards (accepted) (no play)",1.47,1.14,6.0,2024,85
1.0,13:55,1.0,15.0,TAM 33,0.0,0.0,Baker Mayfield pass complete short left to Chris Godwin for 8 yards (tackle by Marshon Lattimore),1.14,1.33,6.0,2024,85
1.0,13:17,2.0,7.0,TAM 41,0.0,0.0,Bucky Irving left tackle for 2 yards (tackle by Willie Gay and Cameron Jordan),1.33,0.89,6.0,2024,85
1.0,12:33,3.0,5.0,TAM 43,0.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 7 yards (tackle by Alontae Taylor and Paulson Adebo),0.89,2.26,6.0,2024,85
1.0,12:11,1.0,10.0,TAM 50,0.0,0.0,Baker Mayfield pass complete short middle to Sterling Shepard for 9 yards (tackle by Paulson Adebo),2.26,2.93,6.0,2024,85
1.0,11:35,2.0,1.0,NOR 41,0.0,0.0,Baker Mayfield pass complete short left to Mike Evans for 22 yards (tackle by Paulson Adebo),2.93,4.31,6.0,2024,85
1.0,10:52,1.0,10.0,NOR 19,0.0,0.0,Bucky Irving left end for 15 yards (tackle by Marshon Lattimore),4.31,6.28,6.0,2024,85
1.0,10:08,1.0,4.0,NOR 4,6.0,0.0,"Baker Mayfield pass complete short middle to Chris Godwin for 4 yards, touchdown",6.28,7.0,6.0,2024,85
1.0,10:05,,,NOR 15,7.0,0.0,Chase McLaughlin kicks extra point good,0.0,0.0,6.0,2024,85
1.0,10:05,,,TAM 35,7.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,85
1.0,10:05,1.0,10.0,NOR 30,7.0,0.0,Spencer Rattler pass complete short right to Juwan Johnson for 27 yards (tackle by Jordan Whitehead),0.94,2.72,6.0,2024,85
1.0,9:31,1.0,10.0,TAM 43,7.0,0.0,"Spencer Rattler aborted snap, recovered by Spencer Rattler at TB-48 and returned for -5 yards",2.72,1.5,6.0,2024,85
1.0,8:54,2.0,15.0,TAM 48,13.0,0.0,"Spencer Rattler pass complete short right to Chris Olave for 5 yards. Chris Olave fumbles (forced by Tykee Smith), recovered by Antoine Winfield at TB-42 and returned for 58 yards, touchdown Replay Assistant challenged the fumble ruling, and the play was upheld.",1.5,-7.0,6.0,2024,85
1.0,8:42,,,NOR 15,14.0,0.0,Chase McLaughlin kicks extra point good,0.0,0.0,6.0,2024,85
1.0,8:42,,,TAM 35,14.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,85
1.0,8:42,1.0,10.0,NOR 30,14.0,0.0,Alvin Kamara left guard for 7 yards (tackle by Vita Vea),0.94,1.34,6.0,2024,85
1.0,8:14,2.0,3.0,NOR 37,14.0,0.0,Spencer Rattler pass incomplete short right intended for Cedrick Wilson,1.34,0.63,6.0,2024,85
1.0,8:08,3.0,3.0,NOR 37,14.0,0.0,Spencer Rattler pass incomplete short right intended for Bub Means,0.63,-0.91,6.0,2024,85
1.0,8:05,4.0,3.0,NOR 37,14.0,0.0,"Matthew Hayball punts 42 yards, returned by Jalen McMillan for no gain (tackle by Rico Payton)",-0.91,-0.34,6.0,2024,85
1.0,7:57,1.0,10.0,TAM 21,14.0,0.0,Baker Mayfield pass complete short middle to Sterling Shepard for 9 yards (tackle by Demario Davis),0.34,1.02,6.0,2024,85
1.0,7:17,2.0,1.0,TAM 30,14.0,0.0,"Baker Mayfield pass incomplete deep right intended for Mike Evans. Penalty on Paulson Adebo: Defensive Pass Interference, 10 yards (accepted) (no play)",1.02,1.6,6.0,2024,85
1.0,7:11,1.0,10.0,TAM 40,14.0,0.0,Baker Mayfield pass complete short left to Chris Godwin for 4 yards (tackle by Jordan Howden and Marshon Lattimore),1.6,1.59,6.0,2024,85
1.0,6:30,2.0,6.0,TAM 44,14.0,0.0,"Sean Tucker left tackle for 11 yards (tackle by Marshon Lattimore and Jordan Howden). Penalty on Carl Granderson: Unnecessary Roughness / Defense, 15 yards (accepted)",1.59,3.58,6.0,2024,85
1.0,6:05,1.0,10.0,NOR 30,14.0,0.0,Baker Mayfield pass complete short right to Sean Tucker for 15 yards (tackle by Willie Gay),3.58,4.58,6.0,2024,85
1.0,5:17,1.0,10.0,NOR 15,14.0,0.0,"Penalty on Baker Mayfield: Delay of Game, 5 yards (accepted) (no play)",4.58,4.24,6.0,2024,85
1.0,4:58,1.0,15.0,NOR 20,14.0,0.0,Baker Mayfield pass incomplete short right intended for Cade Otton (defended by Willie Gay),4.24,3.35,6.0,2024,85
1.0,4:53,2.0,15.0,NOR 20,14.0,0.0,Baker Mayfield scrambles right tackle for 12 yards (tackle by Tyrann Mathieu),3.35,4.45,6.0,2024,85
1.0,4:09,3.0,3.0,NOR 8,14.0,0.0,Baker Mayfield pass incomplete short left intended for Mike Evans (defended by Alontae Taylor),4.45,2.98,6.0,2024,85
1.0,4:04,4.0,3.0,NOR 8,17.0,0.0,Chase McLaughlin 26 yard field goal good,2.98,3.0,6.0,2024,85
1.0,4:01,,,TAM 35,17.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.28,6.0,2024,85
1.0,4:01,1.0,10.0,NOR 20,17.0,0.0,Alvin Kamara left guard for 2 yards (tackle by Tykee Smith and Chris Braswell),0.28,0.0,6.0,2024,85
