Quarter,Time,Tm,Detail,HOU,NWE,week,year,game_id
1.0,9:13,Texans,Tank Dell 2 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),7,0,6.0,2024,84
,3:13,Texans,Joe Mixon 10 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),14,0,6.0,2024,84
2.0,0:11,Patriots,Kayshon Boutte 40 yard pass from Drake Maye (Joey Slye kick),14,7,6.0,2024,84
3.0,13:28,Texans,Stefon Diggs 10 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),21,7,6.0,2024,84
,6:56,Texans,Ka'imi Fairbairn 39 yard field goal,24,7,6.0,2024,84
,5:22,Texans,Ka'imi Fairbairn 46 yard field goal,27,7,6.0,2024,84
,1:00,Patriots,Hunter Henry 6 yard pass from Drake Maye (Joey Slye kick),27,14,6.0,2024,84
4.0,13:14,Texans,Joe Mixon 20 yard rush (Ka'imi Fairbairn kick),34,14,6.0,2024,84
,9:24,Patriots,Demario Douglas 35 yard pass from Drake Maye (Joey Slye kick),34,21,6.0,2024,84
,7:47,Texans,Dameon Pierce 54 yard rush (Ka'imi Fairbairn kick),41,21,6.0,2024,84
