Unnamed: 0,TAM,NOR,week,year,game_id
First Downs,31,19,6.0,2024,85
Rush-Yds-TDs,35-277-2,21-81-1,6.0,2024,85
Cmp-Att-Yd-TD-INT,24-36-325-4-3,22-40-243-1-2,6.0,2024,85
Sacked-Yards,1-8,5-21,6.0,2024,85
Net Pass Yards,317,222,6.0,2024,85
Total Yards,594,303,6.0,2024,85
Fumbles-Lost,1-0,3-1,6.0,2024,85
Turnovers,3,3,6.0,2024,85
Penalties-Yards,12-86,7-70,6.0,2024,85
Third Down Conv.,6-10,4-13,6.0,2024,85
Fourth Down Conv.,0-0,1-1,6.0,2024,85
Time of Possession,34:02,25:58,6.0,2024,85
