Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Jets to receive the opening kickoff.",,,6.0,2024,92
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,92
1.0,15:00,1.0,10.0,NYJ 30,0.0,0.0,Breece Hall right end for 3 yards (tackle by Gregory Rousseau),0.94,0.8,6.0,2024,92
1.0,14:25,2.0,7.0,NYJ 33,0.0,0.0,Aaron Rodgers pass complete short right to Allen Lazard for 10 yards (tackle by Rasul Douglas),0.8,1.8,6.0,2024,92
1.0,13:48,1.0,10.0,NYJ 43,0.0,0.0,Aaron Rodgers pass complete short right to Garrett Wilson for 24 yards (tackle by Taylor Rapp),1.8,3.38,6.0,2024,92
1.0,13:06,1.0,10.0,BUF 33,0.0,0.0,Breece Hall right guard for 11 yards (tackle by Taron Johnson and Terrel Bernard),3.38,4.11,6.0,2024,92
1.0,12:34,1.0,10.0,BUF 22,0.0,0.0,Breece Hall right tackle for 2 yards (tackle by Taron Johnson),4.11,3.83,6.0,2024,92
1.0,11:55,2.0,8.0,BUF 20,0.0,0.0,Aaron Rodgers pass complete short right to Garrett Wilson for 4 yards (tackle by Rasul Douglas),3.83,3.74,6.0,2024,92
1.0,11:12,3.0,4.0,BUF 16,0.0,0.0,Aaron Rodgers pass incomplete short right intended for Breece Hall,3.74,2.45,6.0,2024,92
1.0,11:09,4.0,4.0,BUF 16,0.0,3.0,Greg Zuerlein 34 yard field goal good,2.45,3.0,6.0,2024,92
1.0,11:06,,,NYJ 35,0.0,3.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,92
1.0,11:06,1.0,10.0,BUF 30,0.0,3.0,Ty Johnson right end for 12 yards (tackle by Sauce Gardner),0.94,1.73,6.0,2024,92
1.0,10:34,1.0,10.0,BUF 42,0.0,3.0,Josh Allen pass complete short left to Dalton Kincaid for 14 yards (tackle by Tony Adams and Chuck Clark),1.73,2.65,6.0,2024,92
1.0,9:55,1.0,10.0,NYJ 44,0.0,3.0,Ray Davis up the middle for 3 yards (tackle by Javon Kinlaw and Quincy Williams),2.65,2.52,6.0,2024,92
1.0,9:20,2.0,7.0,NYJ 41,0.0,3.0,Ray Davis up the middle for 14 yards (tackle by Chuck Clark),2.52,3.78,6.0,2024,92
1.0,8:40,1.0,10.0,NYJ 27,0.0,3.0,Ray Davis right guard for 6 yards (tackle by Quincy Williams),3.78,4.04,6.0,2024,92
1.0,7:56,2.0,4.0,NYJ 21,0.0,3.0,Ray Davis left tackle for 5 yards (tackle by Jamien Sherwood and Chuck Clark),4.04,4.51,6.0,2024,92
1.0,7:19,1.0,10.0,NYJ 16,0.0,3.0,Ray Davis left tackle for 15 yards (tackle by Sauce Gardner and Chuck Clark),4.51,6.97,6.0,2024,92
1.0,6:54,1.0,1.0,NYJ 1,0.0,3.0,"Josh Allen up the middle for no gain (tackle by Leonard Taylor and Chuck Clark). Penalty on Spencer Brown: Illegal Formation, 5 yards (accepted) (no play)",6.97,5.83,6.0,2024,92
1.0,6:37,1.0,6.0,NYJ 6,0.0,3.0,Ray Davis left tackle for 5 yards (tackle by Jamien Sherwood),5.83,5.91,6.0,2024,92
1.0,6:16,2.0,1.0,NYJ 1,6.0,3.0,"Josh Allen left guard for 1 yard, touchdown",5.91,7.0,6.0,2024,92
1.0,6:12,,,NYJ 15,7.0,3.0,Tyler Bass kicks extra point good,0.0,0.0,6.0,2024,92
1.0,6:12,,,BUF 35,7.0,3.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,92
1.0,6:12,1.0,10.0,NYJ 30,7.0,3.0,Breece Hall right guard for 4 yards (tackle by Taron Johnson),0.94,0.93,6.0,2024,92
1.0,5:41,2.0,6.0,NYJ 34,7.0,3.0,Aaron Rodgers pass complete short left to Breece Hall for 21 yards (tackle by Damar Hamlin),0.93,2.59,6.0,2024,92
1.0,5:02,1.0,10.0,BUF 45,7.0,3.0,Aaron Rodgers pass complete short right to Jeremy Ruckert for 8 yards (tackle by Austin Johnson and Taylor Rapp),2.59,3.12,6.0,2024,92
1.0,4:16,2.0,2.0,BUF 37,7.0,3.0,Braelon Allen left tackle for 6 yards (tackle by Terrel Bernard and A.J. Epenesa),3.12,3.51,6.0,2024,92
1.0,3:36,1.0,10.0,BUF 31,7.0,3.0,Aaron Rodgers pass incomplete short right intended for Mike Williams (defended by Rasul Douglas),3.51,2.97,6.0,2024,92
1.0,3:27,2.0,10.0,BUF 31,7.0,3.0,Breece Hall left tackle for 24 yards (tackle by Christian Benford),2.97,5.6,6.0,2024,92
1.0,2:47,1.0,7.0,BUF 7,7.0,3.0,Braelon Allen up the middle for 2 yards (tackle by Taylor Rapp and Dorian Williams),5.6,5.15,6.0,2024,92
1.0,2:12,2.0,5.0,BUF 5,7.0,3.0,Aaron Rodgers pass incomplete short middle intended for Allen Lazard (defended by DeWayne Carter),5.15,4.26,6.0,2024,92
1.0,2:06,3.0,5.0,BUF 5,7.0,9.0,"Aaron Rodgers pass incomplete short middle intended for Garrett Wilson Replay Assistant challenged the pass completion ruling, and the original play was overturned. Aaron Rodgers pass complete short middle to Garrett Wilson for 5 yards, touchdown",4.26,7.0,6.0,2024,92
1.0,2:01,,,BUF 15,7.0,10.0,Greg Zuerlein kicks extra point good,0.0,0.0,6.0,2024,92
1.0,2:01,,,NYJ 35,7.0,10.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,92
1.0,2:01,1.0,10.0,BUF 30,7.0,10.0,Josh Allen pass incomplete short right,0.94,0.39,6.0,2024,92
1.0,1:55,2.0,10.0,BUF 30,7.0,10.0,Ray Davis right end for 4 yards (tackle by Will McDonald),0.39,0.23,6.0,2024,92
1.0,1:12,3.0,6.0,BUF 34,7.0,10.0,Josh Allen pass complete short right to Curtis Samuel for 4 yards (tackle by D.J. Reed),0.23,-0.85,6.0,2024,92
1.0,0:32,4.0,2.0,BUF 38,7.0,10.0,"Sam Martin punts 62 yards, touchback.",-0.85,-0.28,6.0,2024,92
1.0,0:25,1.0,10.0,NYJ 20,7.0,10.0,"Aaron Rodgers pass incomplete deep middle intended for Garrett Wilson. Penalty on Jeremy Ruckert: Illegal Formation, 5 yards (offset) . Penalty on Christian Benford: Defensive Pass Interference, 15 yards (offset) (no play)",0.28,0.28,6.0,2024,92
1.0,0:16,1.0,10.0,NYJ 20,7.0,10.0,Breece Hall right tackle for no gain (tackle by Terrel Bernard and Austin Johnson),0.28,-0.27,6.0,2024,92
2.0,15:00,2.0,10.0,NYJ 20,7.0,10.0,Aaron Rodgers pass complete short right to Allen Lazard for 5 yards (tackle by Christian Benford),-0.27,-0.3,6.0,2024,92
2.0,14:17,3.0,5.0,NYJ 25,7.0,10.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 14 yards (tackle by Taron Johnson),-0.3,1.53,6.0,2024,92
2.0,13:37,1.0,10.0,NYJ 39,7.0,10.0,Breece Hall left tackle for 1 yard (tackle by Taron Johnson),1.53,1.12,6.0,2024,92
2.0,12:59,2.0,9.0,NYJ 40,7.0,10.0,Breece Hall right end for -5 yards (tackle by Terrel Bernard),1.12,-0.23,6.0,2024,92
2.0,12:18,3.0,14.0,NYJ 35,7.0,10.0,Aaron Rodgers pass incomplete short middle intended for Braelon Allen,-0.23,-1.04,6.0,2024,92
2.0,12:12,4.0,14.0,NYJ 35,7.0,10.0,"Thomas Morstead punts 45 yards, fair catch by Brandon Codrington at BUF-20. Penalty on Kaiir Elam: Offensive Holding, 10 yards (accepted)",-1.04,0.38,6.0,2024,92
